,0
522,1.6
523,2.2
524,2.6
525,3.0
526,3.3
527,3.5
528,3.6999998
529,3.9
530,3.9
531,4.1
532,4.4
533,4.8
534,4.9
535,5.0
536,4.3
537,3.9
538,3.4
539,3.1
540,2.8
541,2.6
542,2.4
543,2.2
544,2.0
545,1.8999999
546,1.7
547,1.6
548,1.4
549,1.3
550,1.7
551,2.2
552,2.6
553,3.0
554,3.2
555,3.5
556,3.6999998
557,3.9
558,3.9
559,4.1
560,4.3
561,4.4
562,4.5
563,4.6
564,4.7
565,4.8
566,4.9
567,4.7
568,4.0
569,3.6
570,3.2
571,3.0
572,2.7
573,2.5
574,2.3
575,2.1
576,2.4
577,2.9
578,3.3
579,3.6
580,3.9
581,3.9
582,4.2
583,4.1
584,3.6
585,3.1
586,2.8
587,2.5
588,2.3
589,2.1
590,1.8999999
591,1.7
592,1.6
593,1.5
594,1.4
595,2.0
596,2.5
597,2.9
598,3.2
599,3.4
600,3.6
601,3.7999997
602,3.9
603,4.0
604,4.2
605,4.3
606,4.4
607,4.5
608,4.6
609,4.7
610,4.8
611,4.9
612,4.8
613,4.1
614,3.6999998
615,3.3
616,3.0
617,2.8
618,2.5
619,2.3
620,2.2
621,2.0
622,1.8
623,1.6
624,1.5
625,1.3
626,1.4
627,2.0
628,2.4
629,2.8
630,3.1
631,3.4
632,3.6
633,3.7999997
634,3.9
635,4.0
636,4.2
637,4.3
638,4.4
639,4.5
640,4.9
641,5.6
642,2.9
643,2.9
644,2.6
645,2.8
646,2.8
647,2.4
648,2.1
649,1.8999999
650,2.0
651,1.7
652,1.7
653,2.4
654,3.1
655,3.6
656,5.3
657,5.6
658,6.6
659,5.7
660,4.7
661,4.3
662,3.9
663,3.6999998
664,3.3
665,3.0
666,2.8
667,2.5
668,3.0
669,3.2
670,3.2
671,2.9
672,2.6
673,2.4
674,2.2
675,1.8999999
676,2.8
677,2.5
678,2.3
679,2.0
680,1.8999999
681,1.7
682,1.5
683,1.4
684,1.2
685,1.0
686,1.0
687,1.2
688,2.0
689,2.3
690,2.6
691,2.9
692,3.3
693,3.6
694,3.9
695,4.0
696,4.2
697,4.4
698,4.5
699,4.7
700,4.8
701,4.8
702,4.1
703,3.7999997
704,3.4
705,3.1
706,2.9
707,2.5
708,2.3
709,2.2
710,2.0
711,1.8999999
712,1.8
713,1.6
714,1.5
715,1.4
716,1.7
717,1.6
718,1.4
719,1.5
720,1.3
721,2.0
722,2.4
723,2.7
724,3.0
725,3.7999997
726,4.2
727,3.7999997
728,3.4
729,3.9
730,4.7
731,4.8
732,4.8
733,5.1
734,5.5
735,5.6
736,5.2
737,4.6
738,4.2
739,3.9
740,3.6
741,3.3
742,3.0
743,2.8
744,2.6
745,2.4
746,2.2
747,2.3
748,2.4
749,2.1
750,1.8999999
751,1.6
752,1.7
753,1.4
754,1.2
755,1.0
756,1.3
757,1.4
758,1.1
759,1.0
760,2.3
761,3.9
762,3.9
763,3.4
764,3.0
765,2.7
766,2.4
767,2.1
768,1.8999999
769,1.7
770,2.2
771,1.8
772,1.3
773,1.1
774,1.1
775,1.8
776,2.3
777,3.5
778,3.6999998
779,3.9
780,4.5
781,4.2
782,4.2
783,4.2
784,4.0
785,3.9
786,3.6999998
787,3.5
788,3.4
789,4.2
790,4.9
791,4.5
792,4.0
793,3.6999998
794,3.2
795,3.0
796,2.8
797,2.6
798,2.5
799,2.3
800,2.2
801,2.1
802,2.0
803,1.7
804,1.6
805,1.8
806,2.4
807,2.8
808,3.1
809,3.5
810,3.9
811,4.1
812,4.3
813,3.7999997
814,3.3
815,3.0
816,2.7
817,2.6
818,2.4
819,2.8
820,4.0
821,4.7
822,5.6
823,6.1
824,6.3
825,6.5
826,6.7
827,6.4
828,5.9
829,5.6
830,5.4
831,5.2
832,5.1
833,4.9
834,4.9
835,4.8
836,4.8
837,4.5
838,4.4
839,4.3
840,4.3
841,4.2
842,4.6
843,4.3
844,3.9
845,3.6999998
846,3.4
847,3.2
848,3.0
849,2.7
850,2.5
851,2.3
852,2.2
853,2.0
854,1.8
855,1.6
856,1.5
857,1.3
858,1.1
859,1.0
860,0.8
861,0.7
862,0.6
863,0.5
864,0.4
865,0.3
866,0.2
867,0.6
868,1.3
869,1.7
870,2.1
871,2.3
872,2.5
873,2.7
874,3.0
875,3.3
876,3.6
877,3.9
878,3.9
879,4.2
880,4.3
881,4.5
882,4.6
883,4.8
884,4.9
885,5.0
886,5.1
887,4.6
888,4.1
889,3.6999998
890,3.3
891,3.1
892,2.8
893,3.1
894,3.3
895,3.1
896,2.9
897,2.6
898,2.4
899,2.3
900,2.1
901,1.8999999
902,1.7
903,1.6
904,1.5
905,1.3
906,1.2
907,1.1
908,1.0
909,1.0
910,1.8
911,2.2
912,2.6
913,2.9
914,3.2
915,3.4
916,3.6999998
917,3.9
918,3.9
919,4.1
920,4.3
921,4.4
922,4.6
923,4.7
924,4.8
925,4.5
926,3.9
927,3.5
928,2.9
929,2.6
930,2.4
931,2.0
932,1.8
933,1.7
934,1.6
935,1.4
936,1.3
937,1.2
938,1.2
939,1.8
940,2.3
941,2.6
942,2.9
943,3.2
944,3.4
945,3.6
946,3.7999997
947,3.9
948,4.2
949,4.3
950,4.4
951,4.5
952,4.6
953,4.8
954,4.8
955,4.9
956,5.0
957,5.1
958,5.2
959,5.3
960,5.3
961,5.4
962,5.3
963,4.6
964,4.0
965,3.6999998
966,3.4
967,3.1
968,2.8
969,2.6
970,2.4
971,2.2
972,2.0
973,1.8
974,1.7
975,1.6
976,1.4
977,1.3
978,1.2
979,1.4
980,2.0
981,2.4
982,2.8
983,3.0
984,3.3
985,3.5
986,3.6999998
987,3.9
988,3.9
989,4.1
990,4.2
991,4.3
992,4.5
993,4.6
994,4.7
995,4.8
996,4.9
997,5.0
998,4.4
999,3.9
1000,3.4
1001,3.1
1002,2.8
1003,2.5
1004,2.3
1005,2.1
1006,1.8999999
1007,1.7
1008,1.6
1009,1.4
1010,1.3
1011,1.2
1012,1.7
1013,2.2
1014,2.6
1015,2.9
1016,3.1
1017,3.3
1018,3.5
1019,3.6999998
1020,3.9
1021,3.9
1022,4.1
1023,4.2
1024,4.4
1025,4.5
1026,4.6
1027,4.7
1028,4.8
1029,4.9
1030,4.9
1031,4.8
1032,4.1
1033,3.6
1034,3.2
1035,3.1
1036,3.6999998
1037,3.9
1038,4.2
1039,4.4
1040,4.6
1041,4.7
1042,4.8
1043,4.1
1044,3.6999998
1045,3.2
1046,2.9
1047,2.6
1048,2.2
1049,2.0
1050,1.8
1051,1.6
1052,1.5
1053,1.3
1054,1.3
1055,1.8999999
1056,2.7
1057,3.0
1058,3.2
1059,3.4
1060,3.6
1061,3.7999997
1062,3.9
1063,4.0
1064,4.1
1065,4.3
1066,4.4
1067,4.5
1068,4.6
1069,4.7
1070,4.8
1071,4.9
1072,5.0
1073,4.6
1074,3.9
1075,3.5
1076,3.2
1077,3.0
1078,2.9
1079,3.0
1080,2.6
1081,2.4
1082,2.2
1083,2.0
1084,1.8
1085,1.6
1086,1.5
1087,1.3
1088,1.2
1089,2.1
1090,2.5
1091,2.8
1092,3.1
1093,3.3
1094,3.5
1095,3.6999998
1096,3.9
1097,3.9
1098,4.1
1099,4.2
1100,4.4
1101,4.5
1102,4.6
1103,4.3
1104,3.7999997
1105,3.3
1106,3.0
1107,2.7
1108,2.7
1109,3.2
1110,2.8
1111,2.5
1112,4.2
1113,4.4
1114,4.7
1115,5.0
1116,5.0
1117,5.0
1118,4.9
1119,4.3
1120,3.9
1121,3.5
1122,3.3
1123,2.8
1124,2.5
1125,2.3
1126,2.1
1127,1.8999999
1128,1.7
1129,1.6
1130,1.8
1131,3.7999997
1132,3.9
1133,3.5
1134,3.2
1135,2.9
1136,2.7
1137,2.7
1138,2.5
1139,2.4
1140,2.2
1141,2.1
1142,2.0
1143,2.3
1144,2.7
1145,3.0
1146,3.3
1147,3.4
1148,3.6
1149,3.6999998
1150,3.7999997
1151,4.0
1152,3.9
1153,3.9
1154,3.7999997
1155,3.9
1156,3.6
1157,3.3
1158,3.1
1159,2.8
1160,2.6
1161,2.8
1162,2.7
1163,3.1
1164,2.9
1165,2.7
1166,2.4
1167,2.2
1168,2.0
1169,2.0
1170,1.8
1171,1.6
1172,1.6
1173,1.6
1174,1.6
1175,1.4
1176,1.0
1177,0.9
1178,0.8
1179,0.7
1180,0.6
1181,0.5
1182,0.4
1183,0.4
1184,0.9
1185,1.6
1186,2.5
1187,2.9
1188,3.2
1189,4.6
1190,4.4
1191,3.9
1192,3.6999998
1193,3.4
1194,3.0
1195,3.6999998
1196,4.5
1197,5.1
1198,4.8
1199,4.2
1200,3.9
1201,3.5
1202,3.6
1203,3.9
1204,3.5
1205,3.1
1206,3.6
1207,3.2
1208,2.9
1209,3.4
1210,3.6999998
1211,4.0
1212,5.0
1213,4.5
1214,4.1
1215,3.9
1216,3.5
1217,3.3
1218,3.0
1219,2.8
1220,2.7
1221,2.5
1222,2.6
1223,2.4
1224,3.0
1225,3.3
1226,3.4
1227,3.5
1228,3.6
1229,3.6
1230,3.6
1231,3.6
1232,3.6
1233,3.9
1234,3.9
1235,3.7999997
1236,3.5
1237,3.5
1238,3.2
1239,3.0
1240,2.8
1241,2.8
1242,2.6
1243,2.4
1244,2.3
1245,2.2
1246,2.0
1247,2.0
1248,1.8999999
1249,1.8
1250,2.4
1251,2.2
1252,2.1
1253,1.8999999
1254,1.7
1255,1.6
1256,1.5
1257,1.3
1258,1.2
1259,1.1
1260,1.2
1261,2.7
1262,2.9
1263,3.0
1264,3.2
1265,3.3
1266,3.7999997
1267,4.2
1268,4.0
1269,3.6
1270,3.3
1271,3.0
1272,2.9
1273,2.7
1274,2.6
1275,2.5
1276,2.4
1277,2.3
1278,2.2
1279,2.0
1280,2.0
1281,1.8
1282,1.7
1283,1.6
1284,1.6
1285,1.4
1286,1.4
1287,1.3
1288,1.6
1289,1.4
1290,1.5
1291,1.8
1292,1.6
1293,1.4
1294,1.3
1295,1.2
1296,1.0
1297,1.0
1298,0.9
1299,0.8
1300,0.8
1301,1.3
1302,2.0
1303,2.3
1304,2.7
1305,3.1
1306,3.4
1307,3.6999998
1308,3.9
1309,4.1
1310,4.7
1311,4.6
1312,4.0
1313,3.6999998
1314,3.3
1315,3.4
1316,3.1
1317,2.8
1318,2.5
1319,2.3
1320,2.1
1321,2.0
1322,2.4
1323,2.3
1324,2.2
1325,2.1
1326,2.2
1327,1.8999999
1328,2.0
1329,1.8999999
1330,2.0
1331,1.8
1332,1.6
1333,1.5
1334,1.3
1335,1.2
1336,1.1
1337,1.0
1338,0.9
1339,1.6
1340,2.1
1341,2.4
1342,2.8
1343,3.2
1344,3.5
1345,3.7999997
1346,3.9
1347,4.1
1348,4.3
1349,4.4
1350,4.6
1351,4.7
1352,4.8
1353,5.7
1354,5.7
1355,5.1
1356,4.6
1357,4.2
1358,3.9
1359,3.6
1360,3.4
1361,3.2
1362,2.9
1363,2.7
1364,2.5
1365,2.3
1366,2.1
1367,2.0
1368,1.8
1369,1.7
1370,1.5
1371,1.4
1372,1.3
1373,1.2
1374,1.0
1375,1.0
1376,0.9
1377,1.3
1378,2.0
1379,2.4
1380,2.8
1381,3.1
1382,3.4
1383,3.6999998
1384,3.9
1385,4.0
1386,4.2
1387,4.3
1388,4.5
1389,4.6
1390,4.7
1391,4.8
1392,4.5
1393,3.9
1394,3.5
1395,3.2
1396,2.9
1397,2.7
1398,2.5
1399,2.3
1400,2.1
1401,2.0
1402,1.8
1403,1.7
1404,1.6
1405,1.4
1406,1.3
1407,1.2
1408,1.1
1409,1.8
1410,2.3
1411,2.6
1412,3.0
1413,3.2
1414,3.4
1415,3.6999998
1416,3.9
1417,3.9
1418,4.1
1419,4.2
1420,4.3
1421,4.5
1422,4.6
1423,4.7
1424,4.8
1425,4.9
1426,4.9
1427,5.0
1428,5.0
1429,4.3
1430,3.7999997
1431,3.4
1432,3.1
1433,2.8
1434,2.6
1435,2.4
1436,2.2
1437,2.0
1438,1.8999999
1439,1.7
1440,1.6
1441,1.5
1442,1.3
1443,1.2
1444,1.1
1445,1.3
1446,2.0
1447,2.3
1448,2.7
1449,3.0
1450,3.2
1451,3.4
1452,3.6
1453,3.7999997
1454,3.9
1455,4.0
1456,4.2
1457,4.3
1458,4.4
1459,4.5
1460,4.6
1461,4.7
1462,4.8
1463,4.9
1464,4.9
1465,4.5
1466,3.9
1467,3.5
1468,3.2
1469,2.9
1470,2.6
1471,2.4
1472,2.2
1473,2.0
1474,1.8
1475,1.5
1476,1.4
1477,1.3
1478,1.2
1479,1.7
1480,2.2
1481,2.6
1482,2.9
1483,3.2
1484,3.4
1485,3.6
1486,3.7999997
1487,3.9
1488,3.9
1489,4.1
1490,4.2
1491,4.3
1492,4.4
1493,4.5
1494,4.6
1495,4.7
1496,4.8
1497,4.9
1498,5.0
1499,4.5
1500,4.0
1501,4.4
1502,4.7
1503,4.8
1504,4.9
1505,5.0
1506,5.1
1507,5.2
1508,4.5
1509,3.9
1510,3.6
1511,3.3
1512,3.0
1513,2.7
1514,2.5
1515,2.3
1516,1.8
1517,1.6
1518,1.5
1519,1.4
1520,1.3
1521,1.1
1522,1.3
1523,2.0
1524,2.4
1525,2.7
1526,3.0
1527,3.4
1528,3.6
1529,3.7999997
1530,3.9
1531,4.1
1532,4.3
1533,4.4
1534,4.6
1535,4.7
1536,4.8
1537,4.8
1538,4.9
1539,4.9
1540,4.1
1541,3.6
1542,3.2
1543,2.9
1544,2.7
1545,2.4
1546,2.2
1547,2.0
1548,1.8
1549,1.7
1550,1.5
1551,1.4
1552,1.3
1553,1.2
1554,1.2
1555,1.8999999
1556,2.8
1557,3.2
1558,4.2
1559,3.9
1560,4.3
1561,5.2
1562,5.2
1563,4.6
1564,4.5
1565,4.5
1566,4.0
1567,3.9
1568,3.9
1569,4.4
1570,4.8
1571,4.4
1572,4.3
1573,4.2
1574,4.0
1575,3.9
1576,4.5
1577,5.3
1578,5.5
1579,5.9
1580,5.9
1581,6.0
1582,6.4
1583,6.7
1584,6.5
1585,6.8
1586,6.1
1587,6.0
1588,5.9
1589,6.2
1590,5.7
1591,5.3
1592,5.4
1593,5.1
1594,5.0
1595,5.4
1596,4.9
1597,4.8
1598,4.8
1599,4.5
1600,4.2
1601,4.0
1602,3.9
1603,3.9
1604,3.6999998
1605,3.6999998
1606,3.6
1607,3.6999998
1608,5.1
1609,4.7
1610,4.3
1611,3.9
1612,3.6999998
1613,3.4
1614,3.2
1615,3.3
1616,3.1
1617,2.9
1618,2.8
1619,2.6
1620,2.5
1621,2.3
1622,2.2
1623,2.0
1624,2.1
1625,2.4
1626,2.2
1627,2.0
1628,2.0
1629,2.0
1630,1.8
1631,1.7
1632,1.5
1633,1.4
1634,1.3
1635,1.2
1636,1.1
1637,1.0
1638,1.0
1639,0.9
1640,0.9
1641,0.8
1642,0.7
1643,0.7
1644,0.6
1645,0.6
1646,0.5
1647,0.4
1648,0.4
1649,0.3
1650,0.6
1651,1.5
1652,2.0
1653,2.4
1654,2.9
1655,3.5
1656,3.9
1657,4.4
1658,5.5
1659,5.4
1660,5.4
1661,5.5
1662,5.5
1663,5.2
1664,5.0
1665,4.5
1666,4.2
1667,3.9
1668,3.7999997
1669,4.2
1670,3.9
1671,4.2
1672,5.2
1673,5.5
1674,4.9
1675,4.4
1676,3.6999998
1677,3.5
1678,4.0
1679,3.6999998
1680,3.3
1681,3.3
1682,3.0
1683,3.0
1684,3.0
1685,2.8
1686,2.5
1687,2.4
1688,2.5
1689,2.4
1690,2.6
1691,3.3
1692,3.7999997
1693,3.7999997
1694,4.9
1695,5.2
1696,5.7
1697,5.2
1698,5.2
1699,4.8
1700,4.5
1701,4.4
1702,4.6
1703,4.5
1704,4.2
1705,4.3
1706,4.1
1707,4.0
1708,3.9
1709,4.0
1710,3.7999997
1711,3.6
1712,3.4
1713,3.2
1714,3.0
1715,2.9
1716,2.7
1717,2.9
1718,2.7
1719,2.5
1720,2.4
1721,2.3
1722,2.2
1723,2.1
1724,2.0
1725,1.8
1726,1.7
1727,1.6
1728,1.6
1729,1.5
1730,1.4
1731,1.4
1732,1.3
1733,2.0
1734,2.4
1735,2.8
1736,3.6999998
1737,4.4
1738,5.0
1739,5.7
1740,5.2
1741,4.8
1742,4.4
1743,3.9
1744,3.6999998
1745,3.4
1746,3.4
1747,3.2
1748,3.0
1749,2.8
1750,2.7
1751,2.7
1752,2.6
1753,2.4
1754,2.3
1755,2.1
1756,2.0
1757,1.8999999
1758,2.5
1759,3.0
1760,3.0
1761,3.0
1762,3.4
1763,3.3
1764,3.0
1765,2.7
1766,2.4
1767,2.5
1768,2.3
1769,2.1
1770,2.0
1771,1.8
1772,1.6
1773,1.5
1774,1.3
1775,1.2
1776,1.1
1777,1.0
1778,0.9
1779,1.3
1780,1.4
1781,1.6
1782,1.4
1783,1.5
1784,1.4
1785,1.2
1786,1.1
1787,1.0
1788,0.9
1789,0.8
1790,0.7
1791,1.4
1792,2.0
1793,2.3
1794,2.5
1795,2.8
1796,3.1
1797,3.5
1798,3.7999997
1799,3.9
1800,4.2
1801,4.4
1802,4.7
1803,4.5
1804,3.9
1805,3.5
1806,3.2
1807,2.9
1808,2.7
1809,2.5
1810,2.3
1811,2.5
1812,3.1
1813,3.6
1814,3.9
1815,4.1
1816,4.3
1817,4.5
1818,4.6
1819,3.9
1820,3.5
1821,3.1
1822,2.9
1823,2.6
1824,2.4
1825,2.2
1826,2.1
1827,1.8999999
1828,1.8
1829,1.6
1830,1.5
1831,1.4
1832,1.3
1833,1.8999999
1834,2.4
1835,2.2
1836,1.8999999
1837,1.7
1838,1.6
1839,1.4
1840,1.2
1841,1.1
1842,1.8
1843,2.3
1844,2.7
1845,3.0
1846,3.3
1847,3.5
1848,3.7999997
1849,3.9
1850,4.1
1851,4.2
1852,4.4
1853,4.5
1854,4.7
1855,4.8
1856,4.8
1857,4.1
1858,3.6999998
1859,3.3
1860,3.0
1861,2.8
1862,2.6
1863,2.4
1864,2.2
1865,2.0
1866,1.8999999
1867,1.7
1868,1.6
1869,1.5
1870,1.3
1871,1.2
1872,1.8
1873,2.3
1874,2.7
1875,3.0
1876,3.2
1877,3.5
1878,3.6999998
1879,3.9
1880,3.9
1881,4.1
1882,4.3
1883,4.4
1884,4.5
1885,4.6
1886,4.8
1887,4.9
1888,4.6
1889,3.9
1890,3.5
1891,3.3
1892,3.7999997
1893,4.1
1894,4.4
1895,4.6
1896,4.7
1897,4.9
1898,5.0
1899,4.4
1900,3.9
1901,3.6
1902,3.2
1903,3.0
1904,2.7
1905,2.5
1906,2.3
1907,2.1
1908,2.0
1909,1.8
1910,1.7
1911,1.5
1912,1.4
1913,1.3
1914,1.2
1915,1.8
1916,2.3
1917,2.6
1918,2.9
1919,3.2
1920,3.4
1921,3.6
1922,3.7999997
1923,3.9
1924,4.0
1925,4.2
1926,4.3
1927,4.5
1928,4.6
1929,4.7
1930,4.8
1931,4.9
1932,4.3
1933,3.9
1934,3.4
1935,3.1
1936,2.8
1937,2.6
1938,2.4
1939,2.2
1940,2.0
1941,1.8
1942,1.7
1943,1.5
1944,1.4
1945,1.3
1946,2.0
1947,2.4
1948,2.7
1949,3.0
1950,3.3
1951,3.5
1952,3.6999998
1953,3.9
1954,3.9
1955,4.1
1956,4.3
1957,4.4
1958,4.5
1959,4.6
1960,4.7
1961,4.8
1962,4.9
1963,4.2
1964,3.7999997
1965,3.3
1966,3.0
1967,2.8
1968,2.5
1969,2.3
1970,2.1
1971,1.8999999
1972,2.3
1973,2.8
1974,3.2
1975,3.4
1976,3.6999998
1977,3.9
1978,4.0
1979,3.9
