2018/9/12 2:45	2018/9/12 2:46	12.39	9.21	30	43
2018/9/12 2:47	2018/9/12 2:48	12.36	9.14	30	44
2018/9/12 2:49	2018/9/12 2:50	12.3	9.19	30	45
2018/9/12 2:51	2018/9/12 2:52	12.36	9.14	30	45
2018/9/12 2:53	2018/9/12 2:54	12.19	9	30	44
2018/9/12 2:55	2018/9/12 2:56	12.2	9.09	30	44
2018/9/12 2:57	2018/9/12 2:58	12.14	9.19	30	45
2018/9/12 2:59	2018/9/12 3:00	12.14	8.97	30	45
2018/9/12 3:01	2018/9/12 3:02	12.09	9.12	30	44
2018/9/12 3:03	2018/9/12 3:04	12.14	8.97	30	43
2018/9/12 3:05	2018/9/12 3:06	12.13	8.97	30	43
2018/9/12 3:07	2018/9/12 3:08	12.09	9.16	30	44
2018/9/12 3:09	2018/9/12 3:10	12.04	8.95	30	44
2018/9/12 3:11	2018/9/12 3:12	11.99	9.02	30	43
2018/9/12 3:13	2018/9/12 3:14	11.96	9.07	30	26
2018/9/12 3:15	2018/9/12 3:16	11.97	8.98	30	13
2018/9/12 3:17	2018/9/12 3:18	11.94	9.09	30	12
2018/9/12 3:19	2018/9/12 3:20	11.92	9.17	30	13
2018/9/12 3:21	2018/9/12 3:22	11.76	8.95	30	13
2018/9/12 3:23	2018/9/12 3:24	11.86	9.17	30	13
2018/9/12 3:25	2018/9/12 3:26	11.8	8.98	30	13
2018/9/12 3:27	2018/9/12 3:28	11.79	8.98	30	13
2018/9/12 3:29	2018/9/12 3:30	11.88	8.93	30	13
2018/9/12 3:31	2018/9/12 3:32	11.73	8.93	30	13
2018/9/12 3:33	2018/9/12 3:34	11.84	9.09	30	14
2018/9/12 3:35	2018/9/12 3:36	11.88	9.17	30	14
2018/9/12 3:37	2018/9/12 3:38	11.9	9.17	30	13
2018/9/12 3:39	2018/9/12 3:40	11.74	8.93	30	13
2018/9/12 3:41	2018/9/12 3:42	11.7	9.16	30	13
2018/9/12 3:43	2018/9/12 3:44	11.68	9.16	30	13
2018/9/12 3:45	2018/9/12 3:46	11.64	9.16	30	13
2018/9/12 3:47	2018/9/12 3:48	11.64	8.97	30	14
2018/9/12 3:49	2018/9/12 3:50	11.72	9.16	30	14
2018/9/12 3:51	2018/9/12 3:52	11.6	9.16	30	14
2018/9/12 3:53	2018/9/12 3:54	11.7	9.12	30	14
2018/9/12 3:55	2018/9/12 3:56	11.62	9.16	30	14
2018/9/12 3:57	2018/9/12 3:58	11.75	9	30	14
2018/9/12 3:59	2018/9/12 4:00	11.75	8.92	30	13
2018/9/12 4:01	2018/9/12 4:02	11.62	8.98	30	14
2018/9/12 4:03	2018/9/12 4:04	11.59	8.95	30	14
2018/9/12 4:05	2018/9/12 4:06	11.55	9.05	30	14
