58658.0,3430363074378C14,2018/5/17 23:59:55,99,96.0,4.8,00d0003063
58657.0,343036307837840F,2018/5/17 23:59:08,80,94.0,4.0,00cf002850
58656.0,3430363073376314,2018/5/17 23:59:03,82,96.0,5.3,00d0003552
58655.0,3430363071377D14,2018/5/17 23:59:02,95,94.0,3.7,00cf00255f
58654.0,3430363070377714,2018/5/17 23:58:51,95,80.0,-14.1,00c8408d5f
58653.0,343036306E377714,2018/5/17 23:58:31,89,98.0,9.5,00d1005f59
58652.0,3430363071376414,2018/5/17 23:58:17,94,94.0,3.4,00cf00225e
58651.0,3430363071378D14,2018/5/17 23:58:10,95,84.0,-12.0,00ca40785f
58650.0,343036306E377914,2018/5/17 23:57:52,60,98.0,13.6,00d100883c
58647.0,3430363074378A14,2018/5/17 23:57:17,96,94.0,4.5,00cf002d60
58649.0,3536353270376404,2018/5/17 23:57:11,98,94.0,4.7,00cf002f62
58648.0,3430363073376214,2018/5/17 23:57:07,87,94.0,6.7,00cf004357
58646.0,3430363074378C14,2018/5/17 23:56:55,99,96.0,4.8,00d0003063
58645.0,343036307837840F,2018/5/17 23:56:08,81,94.0,4.1,00cf002951
58644.0,3430363073376314,2018/5/17 23:56:03,86,96.0,5.6,00d0003856
58643.0,3430363071377D14,2018/5/17 23:56:02,94,92.0,3.4,00ce00225e
58642.0,3430363070377714,2018/5/17 23:55:51,95,80.0,-14.1,00c8408d5f
58641.0,343036306E377714,2018/5/17 23:55:31,92,98.0,9.3,00d1005d5c
58640.0,3430363071376414,2018/5/17 23:55:17,93,94.0,3.1,00cf001f5d
58639.0,3430363071378D14,2018/5/17 23:55:10,95,84.0,-11.9,00ca40775f
58638.0,343036306E377914,2018/5/17 23:54:52,53,98.0,13.8,00d1008a35
58637.0,3430363074378A14,2018/5/17 23:54:17,96,96.0,4.4,00d0002c60
58636.0,3536353270376404,2018/5/17 23:54:11,96,94.0,4.5,00cf002d60
58635.0,3430363073376214,2018/5/17 23:54:07,90,94.0,6.8,00cf00445a
58634.0,3430363074378C14,2018/5/17 23:53:55,99,96.0,4.8,00d0003063
58632.0,343036307837840F,2018/5/17 23:53:08,81,94.0,4.2,00cf002a51
58633.0,3430363073376314,2018/5/17 23:53:03,90,98.0,5.9,00d1003b5a
58631.0,3430363071377D14,2018/5/17 23:53:02,93,92.0,3.1,00ce001f5d
58630.0,3430363070377714,2018/5/17 23:52:51,95,80.0,-14.0,00c8408c5f
58629.0,343036306E377714,2018/5/17 23:52:31,83,98.0,8.4,00d1005453
58628.0,3430363071376414,2018/5/17 23:52:16,90,94.0,2.7,00cf001b5a
58627.0,3430363071378D14,2018/5/17 23:52:10,95,84.0,-11.9,00ca40775f
58626.0,343036306E377914,2018/5/17 23:51:52,55,98.0,14.2,00d1008e37
58625.0,3430363074378A14,2018/5/17 23:51:17,96,96.0,4.2,00d0002a60
58624.0,3536353270376404,2018/5/17 23:51:11,93,94.0,4.2,00cf002a5d
58623.0,3430363073376214,2018/5/17 23:51:07,93,94.0,7.0,00cf00465d
58622.0,3430363074378C14,2018/5/17 23:50:55,99,96.0,4.8,00d0003063
58621.0,343036307837840F,2018/5/17 23:50:08,81,94.0,4.2,00cf002a51
58620.0,3430363073376314,2018/5/17 23:50:03,94,96.0,6.3,00d0003f5e
