timestamp,temperature
2018-05-15 08:26:04,3.7
2018-05-15 08:29:04,3.9
2018-05-15 08:32:04,3.9
2018-05-15 08:35:04,4.0
2018-05-15 08:38:04,4.2
2018-05-15 08:41:04,4.3
2018-05-15 08:44:04,4.4
2018-05-15 08:47:04,3.8
2018-05-15 08:50:04,3.3
2018-05-15 08:53:04,2.9
2018-05-15 08:56:04,2.6
2018-05-15 08:59:04,2.4
2018-05-15 09:02:04,2.2
2018-05-15 09:05:04,2.3
2018-05-15 09:08:04,2.2
2018-05-15 09:11:04,2.6
2018-05-15 09:14:04,2.2
2018-05-15 09:17:04,1.9
2018-05-15 09:20:04,1.6
2018-05-15 09:29:04,1.4
2018-05-15 09:32:04,1.1
2018-05-15 09:35:04,1.6
2018-05-15 09:38:04,2.2
2018-05-15 09:41:04,3.3
2018-05-15 09:44:04,3.5
2018-05-15 09:47:04,3.9
2018-05-15 09:50:04,4.5
2018-05-15 09:53:04,4.5
2018-05-15 09:56:04,4.3
2018-05-15 09:59:04,3.9
2018-05-15 10:02:04,3.5
2018-05-15 10:05:04,3.1
2018-05-15 10:08:04,2.7
2018-05-15 10:11:04,2.4
2018-05-15 10:14:04,2.6
2018-05-15 10:17:04,2.9
2018-05-15 10:20:04,2.9
2018-05-15 10:23:04,2.5
2018-05-15 10:26:04,2.2
2018-05-15 10:29:04,1.9
2018-05-15 10:32:04,2.5
2018-05-15 10:35:04,2.4
2018-05-15 10:38:04,2.3
2018-05-15 10:41:04,2.6
2018-05-15 10:44:04,2.4
2018-05-15 10:53:04,1.6
2018-05-15 10:56:04,1.3
2018-05-15 10:59:04,1.1
2018-05-15 11:02:04,1.0
2018-05-15 11:05:04,1.7
2018-05-15 11:08:04,2.1
2018-05-15 11:11:04,2.4
2018-05-15 11:14:04,2.7
2018-05-15 11:17:04,3.1
2018-05-15 11:20:04,3.4
2018-05-15 11:23:04,3.6
2018-05-15 11:26:04,3.9
2018-05-15 11:29:04,3.9
2018-05-15 11:32:04,4.1
2018-05-15 11:35:04,4.3
2018-05-15 11:38:04,4.4
2018-05-15 11:41:04,4.6
2018-05-15 11:44:04,4.7
2018-05-15 11:47:04,4.8
2018-05-15 11:50:04,4.9
2018-05-15 11:53:04,4.2
2018-05-15 11:56:04,3.7
2018-05-15 11:59:04,3.3
2018-05-15 12:02:04,3.0
2018-05-15 12:05:04,2.7
2018-05-15 12:08:04,2.5
2018-05-15 12:11:04,2.3
2018-05-15 12:14:04,2.1
2018-05-15 12:17:04,1.9
2018-05-15 12:20:04,1.7
2018-05-15 12:23:04,1.6
2018-05-15 12:26:04,1.4
2018-05-15 12:29:04,1.3
2018-05-15 12:32:04,1.7
2018-05-15 12:35:04,2.3
2018-05-15 12:38:04,2.6
2018-05-15 12:41:04,3.0
2018-05-15 12:44:04,3.2
2018-05-15 12:47:04,3.4
2018-05-15 12:50:04,3.7
2018-05-15 12:53:04,3.9
2018-05-15 12:56:04,3.9
2018-05-15 12:59:04,4.1
2018-05-15 13:05:04,4.4
2018-05-15 13:08:04,4.5
2018-05-15 13:11:04,4.6
2018-05-15 13:14:04,4.7
2018-05-15 13:17:04,4.8
2018-05-15 13:20:04,4.9
2018-05-15 13:23:04,4.3
2018-05-15 13:26:04,3.9
2018-05-15 13:29:04,3.6
2018-05-15 13:32:04,3.3
2018-05-15 13:35:04,3.6
2018-05-15 13:38:04,4.3
2018-05-15 13:41:04,4.5
2018-05-15 13:47:04,5.0
2018-05-15 13:50:04,5.1
2018-05-15 13:53:04,5.5
2018-05-15 13:56:04,5.8
2018-05-15 13:59:04,5.2
2018-05-15 14:02:04,4.7
2018-05-15 14:05:04,4.3
2018-05-15 14:08:04,4.2
2018-05-15 14:14:04,3.5
2018-05-15 14:17:04,3.2
2018-05-15 14:20:04,3.2
2018-05-15 14:23:04,3.9
2018-05-15 14:26:04,3.4
2018-05-15 14:29:04,3.0
2018-05-15 14:32:04,2.7
2018-05-15 14:35:04,2.5
2018-05-15 14:38:04,2.5
2018-05-15 14:41:04,2.8
2018-05-15 14:44:04,2.4
2018-05-15 14:47:04,2.6
2018-05-15 14:50:04,2.4
2018-05-15 14:53:04,2.3
2018-05-15 14:56:04,2.0
2018-05-15 14:59:04,2.4
2018-05-15 15:02:04,2.0
2018-05-15 15:05:04,1.8
2018-05-15 15:08:04,1.6
2018-05-15 15:11:04,1.4
2018-05-15 15:14:04,1.4
2018-05-15 15:17:04,1.4
2018-05-15 15:20:04,1.6
2018-05-15 15:23:04,2.2
2018-05-15 15:26:04,2.3
2018-05-15 15:29:04,2.5
2018-05-15 15:32:04,3.0
2018-05-15 15:35:04,2.8
2018-05-15 15:38:04,2.5
2018-05-15 15:41:04,2.3
2018-05-15 15:44:04,2.1
2018-05-15 15:47:04,2.0
2018-05-15 15:50:04,2.0
2018-05-15 15:53:04,2.0
2018-05-15 15:56:04,2.3
2018-05-15 15:59:04,2.1
2018-05-15 16:02:04,1.9
2018-05-15 16:05:04,2.0
2018-05-15 16:08:04,1.8
2018-05-15 16:11:04,1.6
2018-05-15 16:14:04,1.5
2018-05-15 16:17:04,1.3
2018-05-15 16:20:04,1.2
2018-05-15 16:23:04,1.1
2018-05-15 16:26:04,1.6
2018-05-15 16:29:04,1.6
2018-05-15 16:32:04,2.0
2018-05-15 16:35:04,2.0
2018-05-15 16:41:04,1.6
2018-05-15 16:44:04,1.4
2018-05-15 16:47:04,1.2
2018-05-15 16:50:04,1.0
2018-05-15 16:53:04,1.0
2018-05-15 16:56:04,0.8
2018-05-15 16:59:04,0.7
2018-05-15 17:02:04,0.6
2018-05-15 17:05:04,0.5
2018-05-15 17:08:04,0.4
2018-05-15 17:11:04,1.0
2018-05-15 17:14:04,1.6
2018-05-15 17:17:04,2.0
2018-05-15 17:20:04,2.3
2018-05-15 17:23:04,2.6
2018-05-15 17:26:04,2.8
2018-05-15 17:29:04,3.2
2018-05-15 17:32:04,3.6
2018-05-15 17:35:04,3.9
2018-05-15 17:38:04,4.1
2018-05-15 17:41:04,4.3
2018-05-15 17:44:04,4.5
2018-05-15 17:47:04,4.7
2018-05-15 17:50:04,4.8
2018-05-15 17:53:04,5.0
2018-05-15 17:56:04,5.1
2018-05-15 17:59:04,4.8
2018-05-15 18:02:04,4.3
2018-05-15 18:05:04,3.9
2018-05-15 18:08:04,3.5
2018-05-15 18:11:04,3.2
2018-05-15 18:14:04,3.0
2018-05-15 18:17:04,2.8
2018-05-15 18:20:04,2.6
2018-05-15 18:23:04,2.5
2018-05-15 18:26:04,2.3
2018-05-15 18:29:04,2.2
2018-05-15 18:32:04,2.0
2018-05-15 18:35:04,1.9
2018-05-15 18:38:04,1.8
2018-05-15 18:41:04,1.7
2018-05-15 18:44:04,1.6
2018-05-15 18:47:04,1.4
2018-05-15 18:50:04,1.3
2018-05-15 18:53:04,1.2
2018-05-15 18:56:04,1.6
2018-05-15 18:59:04,2.2
2018-05-15 19:02:04,2.6
2018-05-15 19:05:04,3.0
2018-05-15 19:08:04,3.3
2018-05-15 19:11:04,3.5
2018-05-15 19:14:04,3.8
2018-05-15 19:17:04,3.9
2018-05-15 19:20:04,4.1
2018-05-15 19:23:04,4.3
2018-05-15 19:26:04,4.4
2018-05-15 19:29:04,4.5
2018-05-15 19:32:04,4.7
2018-05-15 19:35:04,4.8
2018-05-15 19:38:04,4.8
2018-05-15 19:41:04,4.1
2018-05-15 19:44:04,3.7
2018-05-15 19:47:04,3.3
2018-05-15 19:50:04,3.0
2018-05-15 19:53:04,2.8
2018-05-15 19:56:04,2.6
2018-05-15 19:59:04,2.4
2018-05-15 20:02:04,2.2
2018-05-15 20:05:04,2.0
2018-05-15 20:08:04,1.9
2018-05-15 20:11:04,1.7
2018-05-15 20:14:04,1.6
2018-05-15 20:17:04,1.5
2018-05-15 20:20:04,1.4
2018-05-15 20:23:04,1.7
2018-05-15 20:26:04,2.3
2018-05-15 20:29:04,2.7
2018-05-15 20:32:04,3.0
2018-05-15 20:35:04,3.3
2018-05-15 20:38:04,3.5
2018-05-15 20:41:04,3.8
2018-05-15 20:44:04,3.9
2018-05-15 20:47:04,4.0
2018-05-15 20:50:04,4.2
2018-05-15 20:53:04,4.2
2018-05-15 20:56:04,3.7
2018-05-15 20:59:04,3.2
2018-05-15 21:02:04,2.9
2018-05-15 21:05:04,2.6
2018-05-15 21:08:04,2.4
2018-05-15 21:11:04,2.2
2018-05-15 21:14:04,2.0
2018-05-15 21:17:04,1.8
2018-05-15 21:20:04,1.6
2018-05-15 21:23:04,1.5
2018-05-15 21:26:04,1.4
2018-05-15 21:29:04,1.2
2018-05-15 21:32:04,1.5
2018-05-15 21:35:04,2.1
2018-05-15 21:38:04,2.5
2018-05-15 21:41:04,2.9
2018-05-15 21:44:04,3.2
2018-05-15 21:47:04,3.4
2018-05-15 21:50:04,3.6
2018-05-15 21:53:04,3.8
2018-05-15 21:56:04,3.9
2018-05-15 22:02:04,4.2
2018-05-15 22:05:04,4.3
2018-05-15 22:08:04,4.4
2018-05-15 22:11:04,4.5
2018-05-15 22:14:04,4.7
2018-05-15 22:17:04,4.8
2018-05-15 22:20:04,4.8
2018-05-15 22:23:04,4.9
2018-05-15 22:26:03,4.2
2018-05-15 22:29:03,3.8
2018-05-15 22:32:03,3.4
2018-05-15 22:35:03,3.1
2018-05-15 22:38:03,2.8
2018-05-15 22:41:03,2.6
2018-05-15 22:44:03,2.4
2018-05-15 22:47:03,2.2
2018-05-15 22:50:03,2.0
2018-05-15 22:53:03,1.8
2018-05-15 22:56:03,1.7
2018-05-15 22:59:04,2.2
2018-05-15 23:02:03,2.2
2018-05-15 23:05:03,2.0
2018-05-15 23:08:03,1.9
2018-05-15 23:11:03,1.7
2018-05-15 23:14:03,1.5
2018-05-15 23:17:03,1.4
2018-05-15 23:20:03,1.2
2018-05-15 23:23:03,1.1
2018-05-15 23:26:03,1.3
2018-05-15 23:29:03,2.0
2018-05-15 23:32:03,2.4
2018-05-15 23:35:03,2.8
2018-05-15 23:38:03,3.2
2018-05-15 23:41:03,3.4
2018-05-15 23:44:03,3.7
2018-05-15 23:47:03,3.9
2018-05-15 23:50:03,3.9
2018-05-15 23:53:03,4.2
2018-05-15 23:56:03,4.3
2018-05-15 23:59:03,4.5
2018-05-16 00:02:03,4.6
2018-05-16 00:05:03,4.7
2018-05-16 00:08:03,4.8
2018-05-16 00:11:03,4.9
2018-05-16 00:14:03,4.3
2018-05-16 00:17:03,3.9
2018-05-16 00:20:03,3.5
