id,eui,timestamp,data,humidity,batt,temperature
40493,3430363071377D14,2018/5/15 00:02:04,00cf002c5f,95,94,4.4
40505,3430363071377D14,2018/5/15 00:05:04,00cf002d5f,95,94,4.5
40518,3430363071377D14,2018/5/15 00:08:04,00cf002e5f,95,94,4.6
40532,3430363071377D14,2018/5/15 00:11:04,00cf002f5f,95,94,4.7
40545,3430363071377D14,2018/5/15 00:14:04,00cf00305f,95,94,4.8
40557,3430363071377D14,2018/5/15 00:17:04,00d000315f,95,96,4.9
40571,3430363071377D14,2018/5/15 00:20:04,00d000295a,90,96,4.1
40584,3430363071377D14,2018/5/15 00:23:04,00d0002555,85,96,3.7
40596,3430363071377D14,2018/5/15 00:26:04,00cf002150,80,94,3.3
40608,3430363071377D14,2018/5/15 00:29:04,00cf001e4c,76,94,3
40633,3430363071377D14,2018/5/15 00:35:04,00cf001847,71,94,2.4
40645,3430363071377D14,2018/5/15 00:38:04,00cf001645,69,94,2.2
40658,3430363071377D14,2018/5/15 00:41:04,00cf001445,69,94,2
40672,3430363071377D14,2018/5/15 00:44:04,00cf001244,68,94,1.8
40685,3430363071377D14,2018/5/15 00:47:04,00cf001043,67,94,1.6
40697,3430363071377D14,2018/5/15 00:50:04,00cf000f43,67,94,1.5
40711,3430363071377D14,2018/5/15 00:53:04,00cf000d43,67,94,1.3
40724,3430363071377D14,2018/5/15 00:56:04,00cf000c42,66,94,1.2
40736,3430363071377D14,2018/5/15 00:59:04,00cf00104a,74,94,1.6
40751,3430363071377D14,2018/5/15 01:02:04,00cf001550,80,94,2.1
40763,3430363071377D14,2018/5/15 01:05:04,00cf001954,84,94,2.5
40775,3430363071377D14,2018/5/15 01:08:04,00cf001c57,87,94,2.8
40787,3430363071377D14,2018/5/15 01:11:04,00cf001e59,89,94,3
40800,3430363071377D14,2018/5/15 01:14:04,00cf00215a,90,94,3.3
40824,3430363071377D14,2018/5/15 01:20:04,00cf00245c,92,94,3.6
40837,3430363071377D14,2018/5/15 01:23:04,00cf00265c,92,94,3.8
40850,3430363071377D14,2018/5/15 01:26:04,00cf00275c,92,94,3.9
40863,3430363071377D14,2018/5/15 01:29:04,00cf00285d,93,94,4
40876,3430363071377D14,2018/5/15 01:32:04,00cf00295d,93,94,4.1
40889,3430363071377D14,2018/5/15 01:35:04,00cf002b5d,93,94,4.3
40913,3430363071377D14,2018/5/15 01:41:04,00cf002d5d,93,94,4.5
40926,3430363071377D14,2018/5/15 01:44:04,00cf002e5d,93,94,4.6
40939,3430363071377D14,2018/5/15 01:47:04,00d0002f5d,93,96,4.7
40953,3430363071377D14,2018/5/15 01:50:04,00cf00305d,93,94,4.8
40965,3430363071377D14,2018/5/15 01:53:04,00d000315d,93,96,4.9
40978,3430363071377D14,2018/5/15 01:56:04,00cf002f5b,91,94,4.7
40991,3430363071377D14,2018/5/15 01:59:04,00cf002757,87,94,3.9
41004,3430363071377D14,2018/5/15 02:02:04,00cf002351,81,94,3.5
41017,3430363071377D14,2018/5/15 02:05:04,00cf00204c,76,94,3.2
41030,3430363071377D14,2018/5/15 02:08:04,00cf001c49,73,94,2.8
41043,3430363071377D14,2018/5/15 02:11:04,00cf001a47,71,94,2.6
41056,3430363071377D14,2018/5/15 02:14:04,00cf001745,69,94,2.3
41069,3430363071377D14,2018/5/15 02:17:04,00cf001544,68,94,2.1
41082,3430363071377D14,2018/5/15 02:20:04,00cf001343,67,94,1.9
41095,3430363071377D14,2018/5/15 02:23:04,00cf001143,67,94,1.7
41106,3430363071377D14,2018/5/15 02:26:04,00cf001042,66,94,1.6
41116,3430363071377D14,2018/5/15 02:29:04,00cf000e42,66,94,1.4
41129,3430363071377D14,2018/5/15 02:32:04,00cf000c42,66,94,1.2
41142,3430363071377D14,2018/5/15 02:35:04,00cf000e47,71,94,1.4
41155,3430363071377D14,2018/5/15 02:38:04,00cf00144e,78,94,2
41168,3430363071377D14,2018/5/15 02:41:04,00cf001853,83,94,2.4
41179,3430363071377D14,2018/5/15 02:44:04,00cf001b56,86,94,2.7
41192,3430363071377D14,2018/5/15 02:47:04,00cf001e58,88,94,3
41205,3430363071377D14,2018/5/15 02:50:04,00cf002059,89,94,3.2
41218,3430363071377D14,2018/5/15 02:53:04,00cf00225a,90,94,3.4
41231,3430363071377D14,2018/5/15 02:56:04,00cf00245b,91,94,3.6
41244,3430363071377D14,2018/5/15 02:59:04,00cf00265b,91,94,3.8
41257,3430363071377D14,2018/5/15 03:02:04,00cf00275c,92,94,3.9
41270,3430363071377D14,2018/5/15 03:05:04,00cf00275c,92,94,3.9
41282,3430363071377D14,2018/5/15 03:08:04,00cf00295c,92,94,4.1
41294,3430363071377D14,2018/5/15 03:11:04,00cf002a5c,92,94,4.2
41307,3430363071377D14,2018/5/15 03:14:04,00cf002b5c,92,94,4.3
41320,3430363071377D14,2018/5/15 03:17:04,00cf002c5d,93,94,4.4
41333,3430363071377D14,2018/5/15 03:20:04,00cf002d5d,93,94,4.5
41346,3430363071377D14,2018/5/15 03:23:04,00cf002e5d,93,94,4.6
41359,3430363071377D14,2018/5/15 03:26:04,00cf002f5d,93,94,4.7
41372,3430363071377D14,2018/5/15 03:29:04,00cf00305d,93,94,4.8
41385,3430363071377D14,2018/5/15 03:32:04,00d000315d,93,96,4.9
