������,Ӧ�ռ�¼,�յ���¼,ʱ��,ĩ��¼,�׼�¼
2018/11/29 Сʱ: 0,2018-11-29 00:01:00,2018-11-29 00:58:00,11.0,30.0,0.6333333333333333
2018/11/29 Сʱ: 1,2018-11-29 01:05:00,2018-11-29 01:59:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 2,2018-11-29 02:04:00,2018-11-29 02:58:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 3,2018-11-29 03:04:00,2018-11-29 03:55:00,9.0,27.0,0.6666666666666667
2018/11/29 Сʱ: 4,2018-11-29 04:01:00,2018-11-29 04:54:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 5,2018-11-29 05:00:00,2018-11-29 05:54:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 6,2018-11-29 06:00:00,2018-11-29 06:56:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 7,2018-11-29 07:02:00,2018-11-29 07:57:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 8,2018-11-29 08:03:00,2018-11-29 08:56:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 9,2018-11-29 09:01:00,2018-11-29 09:53:00,10.0,27.0,0.6296296296296297
2018/11/29 Сʱ: 10,2018-11-29 10:00:00,2018-11-29 10:57:00,10.0,30.0,0.6666666666666667
2018/11/29 Сʱ: 11,2018-11-29 11:02:00,2018-11-29 11:59:00,10.0,30.0,0.6666666666666667
2018/11/29 Сʱ: 12,2018-11-29 12:04:00,2018-11-29 12:58:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 13,2018-11-29 13:05:00,2018-11-29 13:57:00,10.0,27.0,0.6296296296296297
2018/11/29 Сʱ: 14,2018-11-29 14:03:00,2018-11-29 14:58:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 15,2018-11-29 15:05:00,2018-11-29 15:56:00,10.0,27.0,0.6296296296296297
2018/11/29 Сʱ: 16,2018-11-29 16:02:00,2018-11-29 16:57:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 17,2018-11-29 17:03:00,2018-11-29 17:58:00,9.0,29.0,0.6896551724137931
2018/11/29 Сʱ: 18,2018-11-29 18:04:00,2018-11-29 18:59:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 19,2018-11-29 19:04:00,2018-11-29 19:48:00,8.0,23.0,0.6521739130434783
2018/11/29 Сʱ: 20,2018-11-29 20:01:00,2018-11-29 20:56:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 21,2018-11-29 21:03:00,2018-11-29 21:59:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 22,2018-11-29 22:06:00,2018-11-29 22:54:00,9.0,25.0,0.64
2018/11/29 Сʱ: 23,2018-11-29 23:00:00,2018-11-29 23:55:00,10.0,29.0,0.6551724137931034
2018/11/30 Сʱ: 0,2018-11-30 00:02:00,2018-11-30 00:56:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 1,2018-11-30 01:02:00,2018-11-30 01:59:00,11.0,30.0,0.6333333333333333
2018/11/30 Сʱ: 2,2018-11-30 02:06:00,2018-11-30 02:59:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 3,2018-11-30 03:06:00,2018-11-30 03:59:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 4,2018-11-30 04:06:00,2018-11-30 04:56:00,10.0,26.0,0.6153846153846154
2018/11/30 Сʱ: 5,2018-11-30 05:03:00,2018-11-30 05:58:00,10.0,29.0,0.6551724137931034
2018/11/30 Сʱ: 6,2018-11-30 06:04:00,2018-11-30 06:58:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 7,2018-11-30 07:03:00,2018-11-30 07:57:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 8,2018-11-30 08:03:00,2018-11-30 08:57:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 9,2018-11-30 09:04:00,2018-11-30 09:54:00,9.0,26.0,0.6538461538461539
2018/11/30 Сʱ: 10,2018-11-30 10:00:00,2018-11-30 10:58:00,11.0,30.0,0.6333333333333333
2018/11/30 Сʱ: 11,2018-11-30 11:03:00,2018-11-30 11:59:00,10.0,29.0,0.6551724137931034
2018/11/30 Сʱ: 12,2018-11-30 12:05:00,2018-11-30 12:56:00,9.0,27.0,0.6666666666666667
2018/11/30 Сʱ: 13,2018-11-30 13:02:00,2018-11-30 13:57:00,10.0,29.0,0.6551724137931034
2018/11/30 Сʱ: 14,2018-11-30 14:03:00,2018-11-30 14:59:00,10.0,29.0,0.6551724137931034
2018/11/30 Сʱ: 15,2018-11-30 15:05:00,2018-11-30 15:55:00,9.0,26.0,0.6538461538461539
2018/11/30 Сʱ: 16,2018-11-30 16:01:00,2018-11-30 16:58:00,10.0,30.0,0.6666666666666667
2018/11/30 Сʱ: 17,2018-11-30 17:03:00,2018-11-30 17:57:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 18,2018-11-30 18:03:00,2018-11-30 18:54:00,10.0,27.0,0.6296296296296297
2018/11/30 Сʱ: 19,2018-11-30 19:00:00,2018-11-30 19:57:00,10.0,30.0,0.6666666666666667
2018/11/30 Сʱ: 20,2018-11-30 20:03:00,2018-11-30 20:56:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 21,2018-11-30 21:02:00,2018-11-30 21:53:00,9.0,27.0,0.6666666666666667
2018/11/30 Сʱ: 22,2018-11-30 22:00:00,2018-11-30 22:55:00,10.0,29.0,0.6551724137931034
2018/11/30 Сʱ: 23,2018-11-30 23:01:00,2018-11-30 23:54:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 0,2018-12-01 00:00:00,2018-12-01 00:59:00,11.0,31.0,0.6451612903225806
2018/12/1 Сʱ: 1,2018-12-01 01:05:00,2018-12-01 01:58:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 2,2018-12-01 02:04:00,2018-12-01 02:58:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 3,2018-12-01 03:05:00,2018-12-01 03:55:00,9.0,26.0,0.6538461538461539
2018/12/1 Сʱ: 4,2018-12-01 04:01:00,2018-12-01 04:57:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 5,2018-12-01 05:03:00,2018-12-01 05:58:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 6,2018-12-01 06:05:00,2018-12-01 06:55:00,9.0,26.0,0.6538461538461539
2018/12/1 Сʱ: 7,2018-12-01 07:01:00,2018-12-01 07:55:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 8,2018-12-01 08:00:00,2018-12-01 08:58:00,10.0,30.0,0.6666666666666667
2018/12/1 Сʱ: 9,2018-12-01 09:05:00,2018-12-01 09:55:00,9.0,26.0,0.6538461538461539
2018/12/1 Сʱ: 10,2018-12-01 10:02:00,2018-12-01 10:58:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 11,2018-12-01 11:05:00,2018-12-01 11:58:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 12,2018-12-01 12:04:00,2018-12-01 12:58:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 13,2018-12-01 13:04:00,2018-12-01 13:58:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 14,2018-12-01 14:03:00,2018-12-01 14:54:00,9.0,27.0,0.6666666666666667
2018/12/1 Сʱ: 15,2018-12-01 15:00:00,2018-12-01 15:54:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 16,2018-12-01 16:00:00,2018-12-01 16:54:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 17,2018-12-01 17:01:00,2018-12-01 17:57:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 18,2018-12-01 18:04:00,2018-12-01 18:59:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 19,2018-12-01 19:06:00,2018-12-01 19:56:00,9.0,26.0,0.6538461538461539
2018/12/1 Сʱ: 20,2018-12-01 20:02:00,2018-12-01 20:57:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 21,2018-12-01 21:04:00,2018-12-01 21:57:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 22,2018-12-01 22:03:00,2018-12-01 22:57:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 23,2018-12-01 23:04:00,2018-12-01 23:57:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 0,2018-12-02 00:03:00,2018-12-02 00:58:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 1,2018-12-02 01:03:00,2018-12-02 01:54:00,9.0,27.0,0.6666666666666667
2018/12/2 Сʱ: 2,2018-12-02 02:00:00,2018-12-02 02:58:00,11.0,30.0,0.6333333333333333
2018/12/2 Сʱ: 3,2018-12-02 03:05:00,2018-12-02 03:56:00,10.0,27.0,0.6296296296296297
2018/12/2 Сʱ: 4,2018-12-02 04:01:00,2018-12-02 04:55:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 5,2018-12-02 05:02:00,2018-12-02 05:58:00,10.0,29.0,0.6551724137931034
