time,data
2018-11-29T08:36:15+08:00,e4f8731c2a0d
2018-11-29T08:41:16+08:00,def82b1c2a0d
2018-11-29T08:46:20+08:00,def81f1c2a0d
2018-11-29T08:51:24+08:00,e0f8401c2a0d
2018-11-29T08:56:26+08:00,e4f86a1c2a0d
2018-11-29T09:01:30+08:00,e2f8691c270d
2018-11-29T09:06:35+08:00,def8241c2a0d
2018-11-29T09:11:38+08:00,def8241c2a0d
2018-11-29T09:16:42+08:00,dff8441c2a0d
2018-11-29T09:21:46+08:00,02f9cf1c2a0d
2018-11-29T09:26:47+08:00,08f95e1e2a0d
2018-11-29T09:31:51+08:00,09f9551e2f0d
2018-11-29T09:36:54+08:00,10f9011e2a0d
2018-11-29T09:41:55+08:00,19f9b81d330d
2018-11-29T09:46:58+08:00,1af96f1d2a0d
2018-11-29T09:52:03+08:00,0ff9ed1c330d
2018-11-29T09:57:04+08:00,11f9b81c2f0d
2018-11-29T10:02:07+08:00,1af9da1c2f0d
2018-11-29T10:07:11+08:00,1ff9ef1c2a0d
2018-11-29T10:12:13+08:00,1af9b71c3c0d
2018-11-29T10:17:18+08:00,16f9691c2f0d
2018-11-29T10:22:20+08:00,16f9701c330d
2018-11-29T10:27:24+08:00,22f9b61c370d
2018-11-29T10:32:25+08:00,26f9cc1c330d
2018-11-29T10:37:26+08:00,1ff9701c2a0d
2018-11-29T10:42:26+08:00,22f9591c330d
2018-11-29T10:47:31+08:00,28f9811c330d
2018-11-29T10:52:33+08:00,36f9e71c3c0d
2018-11-29T10:57:37+08:00,36f9ac1c330d
2018-11-29T11:02:39+08:00,36f9701c330d
2018-11-29T11:07:42+08:00,41f9991c330d
2018-11-29T11:12:47+08:00,48f9b01c330d
2018-11-29T11:17:48+08:00,43f9741c330d
2018-11-29T11:22:50+08:00,ccf9b01e370d
2018-11-29T11:27:50+08:00,d0f9d71f3c0d
2018-11-29T11:32:53+08:00,bff9c71f3c0d
2018-11-29T11:37:58+08:00,b3f9931f3c0d
2018-11-29T11:48:03+08:00,4ffbaf22510d
2018-11-29T11:53:08+08:00,2dfb50224d0d
2018-11-29T12:03:14+08:00,b3faa920510d
2018-11-29T12:08:19+08:00,86fa2f204d0d
2018-11-29T12:18:25+08:00,36fa951f490d
2018-11-29T12:23:30+08:00,13fa4d1f490d
2018-11-29T12:28:31+08:00,fcf92f1f490d
2018-11-29T12:33:36+08:00,e7f91d1f490d
2018-11-29T12:38:39+08:00,cdf9e71e490d
2018-11-29T12:43:42+08:00,b9f9bd1e490d
2018-11-29T12:48:44+08:00,aaf9b81e490d
2018-11-29T12:53:45+08:00,a2f9c21e3c0d
2018-11-29T12:58:48+08:00,b1f92f1f3c0d
2018-11-29T13:03:50+08:00,acf9811f490d
2018-11-29T13:08:53+08:00,abf9821f3c0d
2018-11-29T13:13:58+08:00,aaf96e1f370d
2018-11-29T13:19:00+08:00,98f9241f490d
2018-11-29T13:24:05+08:00,90f9f31e370d
2018-11-29T13:29:08+08:00,8bf9ed1e3c0d
2018-11-29T13:34:11+08:00,84f9de1e370d
2018-11-29T13:39:15+08:00,71f98f1e3c0d
2018-11-29T13:44:17+08:00,6af9661e370d
2018-11-29T13:49:19+08:00,64f96f1e330d
2018-11-29T13:54:23+08:00,62f97a1e330d
2018-11-29T13:59:26+08:00,53f9381e3c0d
2018-11-29T14:04:28+08:00,49f90f1e330d
2018-11-29T14:09:30+08:00,5af9841e330d
2018-11-29T14:14:35+08:00,6af9d11e330d
2018-11-29T14:19:40+08:00,68f9b91e330d
2018-11-29T14:24:41+08:00,63f9831e330d
2018-11-29T14:29:45+08:00,63f97d1e330d
2018-11-29T14:34:48+08:00,77f9c11e370d
2018-11-29T14:39:52+08:00,79f9401f3c0d
2018-11-29T14:44:56+08:00,89f9641f370d
2018-11-29T14:49:59+08:00,96f9471f330d
2018-11-29T14:55:03+08:00,9bf92d1f370d
2018-11-29T15:00:05+08:00,97f9001f490d
2018-11-29T15:05:10+08:00,91f9c11e370d
2018-11-29T15:10:14+08:00,bdf9f01e3c0d
2018-11-29T15:15:15+08:00,43fa1121490d
2018-11-29T15:20:17+08:00,57fa0121490d
2018-11-29T15:25:21+08:00,abfa8721490d
2018-11-29T15:30:25+08:00,dffae121490d
2018-11-29T15:35:27+08:00,c4fa9021490d
2018-11-29T15:40:31+08:00,9dfa1821490d
2018-11-29T15:45:34+08:00,aafa2a214d0d
2018-11-29T15:50:36+08:00,d5faab214d0d
2018-11-29T15:55:37+08:00,bafa83214d0d
2018-11-29T16:00:38+08:00,a1fa3f21490d
2018-11-29T16:05:43+08:00,9efa3f214d0d
2018-11-29T16:10:43+08:00,91fa2e21490d
2018-11-29T16:15:48+08:00,70fae0204d0d
2018-11-29T16:20:48+08:00,5ffab920490d
2018-11-29T16:25:49+08:00,51faa720490d
2018-11-29T16:30:53+08:00,37fa7420490d
2018-11-29T16:35:55+08:00,1dfa2420490d
2018-11-29T16:40:57+08:00,0ffa0e20490d
2018-11-29T16:45:59+08:00,08fa0620490d
2018-11-29T16:51:02+08:00,edf9c21f490d
2018-11-29T16:56:07+08:00,d8f97e1f490d
2018-11-29T17:01:11+08:00,d3f97a1f490d
2018-11-29T17:06:13+08:00,ccf97f1f490d
2018-11-29T17:11:14+08:00,b4f93d1f490d
2018-11-29T17:16:18+08:00,b3f9061f3c0d
2018-11-29T17:21:19+08:00,eaf917203c0d
2018-11-29T17:26:23+08:00,eff99020490d
2018-11-29T17:31:24+08:00,ddf95320490d
2018-11-29T17:36:28+08:00,cef9ef1f490d
2018-11-29T17:41:30+08:00,ccf9ab1f490d
2018-11-29T17:46:32+08:00,c5f9771f3c0d
2018-11-29T17:51:32+08:00,b1f9031f490d
2018-11-29T17:56:36+08:00,a1f99c1e3c0d
2018-11-29T18:01:39+08:00,9df9991e490d
2018-11-29T18:06:41+08:00,96f9b41e490d
2018-11-29T18:11:44+08:00,84f9761e3c0d
2018-11-29T18:16:48+08:00,72f91f1e3c0d
2018-11-29T18:21:52+08:00,6ff9321e370d
2018-11-29T18:26:55+08:00,71f9661e370d
2018-11-29T18:31:57+08:00,60f9461e370d
2018-11-29T18:36:59+08:00,9df9e81e3c0d
2018-11-29T18:42:01+08:00,9ef9c01f370d
2018-11-29T18:47:03+08:00,94f9c81f3c0d
2018-11-29T18:52:07+08:00,87f9ae1f3c0d
2018-11-29T18:57:08+08:00,72f9681f330d
2018-11-29T19:02:12+08:00,68f93a1f3c0d
2018-11-29T19:07:14+08:00,66f9151f490d
2018-11-29T19:12:16+08:00,60f9d51e330d
2018-11-29T19:17:20+08:00,4df94f1e370d
2018-11-29T19:22:23+08:00,48f9241e3c0d
2018-11-29T19:27:25+08:00,47f9331e370d
2018-11-29T19:32:28+08:00,49f9431e3c0d
2018-11-29T19:37:31+08:00,35f9f51d2f0d
2018-11-29T19:42:32+08:00,30f9d61d370d
2018-11-29T19:47:36+08:00,32f9f51d2a0d
2018-11-29T19:52:41+08:00,32f91a1e2a0d
2018-11-29T19:57:42+08:00,27f9ed1d3c0d
2018-11-29T20:02:47+08:00,1cf9b81d2a0d
2018-11-29T20:07:49+08:00,1ff9cb1d2f0d
2018-11-29T20:12:52+08:00,22f9ef1d2f0d
2018-11-29T20:17:55+08:00,1cf9e91d330d
2018-11-29T20:22:56+08:00,0df9a31d2a0d
2018-11-29T20:28:01+08:00,0ef9a31d370d
2018-11-29T20:33:03+08:00,10f9c01d2f0d
2018-11-29T20:38:06+08:00,11f9de1d2f0d
2018-11-29T20:48:13+08:00,03f98b1d2a0d
2018-11-29T20:53:15+08:00,02f9a11d2a0d
2018-11-29T20:58:19+08:00,08f9c71d2a0d
2018-11-29T21:03:21+08:00,01f9bb1d2a0d
2018-11-29T21:08:25+08:00,f6f8841d2a0d
2018-11-29T21:13:28+08:00,f6f88b1d330d
2018-11-29T21:18:32+08:00,fdf8a81d2a0d
2018-11-29T21:23:32+08:00,fff8c51d2a0d
2018-11-29T21:28:32+08:00,f3f8961d270d
2018-11-29T21:33:35+08:00,f3f87b1d270d
2018-11-29T21:38:36+08:00,f2f8901d270d
2018-11-29T21:43:40+08:00,fbf8b31d2a0d
2018-11-29T21:48:42+08:00,f4f8a71d330d
2018-11-29T21:53:47+08:00,edf8741d2a0d
2018-11-29T21:58:51+08:00,eef8791d2a0d
2018-11-29T22:03:55+08:00,f2f89a1d2a0d
2018-11-29T22:09:00+08:00,f3f8b51d2a0d
2018-11-29T22:14:02+08:00,eaf87e1d270d
2018-11-29T22:19:06+08:00,e6f8671d2a0d
2018-11-29T22:24:10+08:00,eaf87e1d270d
2018-11-29T22:29:13+08:00,eff8a51d270d
2018-11-29T22:34:18+08:00,ebf8a01d270d
2018-11-29T22:39:23+08:00,ecf8871d2a0d
2018-11-29T22:44:25+08:00,f4f88d1d2a0d
2018-11-29T22:49:28+08:00,fcf8a51d2a0d
2018-11-29T22:54:31+08:00,04f9ce1d2a0d
2018-11-29T22:59:33+08:00,fef8921d2a0d
2018-11-29T23:04:33+08:00,fff86f1d2a0d
2018-11-29T23:09:35+08:00,02f98c1d2a0d
2018-11-29T23:14:39+08:00,0af9b71d2a0d
2018-11-29T23:19:41+08:00,00f9961d2a0d
2018-11-29T23:24:41+08:00,fcf85c1d2a0d
2018-11-29T23:29:44+08:00,fff86c1d2a0d
2018-11-29T23:34:44+08:00,00f9931d270d
2018-11-29T23:39:46+08:00,fef8a21d2a0d
2018-11-29T23:44:46+08:00,f2f85a1d2a0d
2018-11-29T23:49:49+08:00,f0f84f1d2a0d
2018-11-29T23:54:50+08:00,f4f8741d2a0d
2018-11-29T23:59:51+08:00,f4f89b1d270d
2018-11-30T00:04:54+08:00,ecf86b1d2a0d
2018-11-30T00:09:55+08:00,e8f8491d270d
2018-11-30T00:14:59+08:00,ecf85a1d2a0d
2018-11-30T00:20:03+08:00,f5f8a21d2a0d
2018-11-30T00:25:08+08:00,00f9cb1d2a0d
2018-11-30T00:30:13+08:00,fef87a1d2a0d
2018-11-30T00:35:13+08:00,04f9741d2a0d
2018-11-30T00:40:15+08:00,08f9981d270d
2018-11-30T00:45:17+08:00,0df9ab1d270d
2018-11-30T00:50:19+08:00,01f9641d2a0d
2018-11-30T00:55:22+08:00,01f94e1d2a0d
2018-11-30T01:00:23+08:00,02f96f1d2a0d
2018-11-30T01:05:26+08:00,04f9981d2a0d
2018-11-30T01:10:28+08:00,faf86d1d2a0d
2018-11-30T01:15:30+08:00,f3f83b1d270d
2018-11-30T01:20:33+08:00,f6f8511d270d
2018-11-30T01:25:38+08:00,f9f87e1d2a0d
2018-11-30T01:30:42+08:00,f4f87e1d330d
2018-11-30T01:35:46+08:00,ecf8351d2a0d
2018-11-30T01:40:47+08:00,ebf8371d2a0d
2018-11-30T01:45:49+08:00,edf85e1d270d
2018-11-30T01:50:53+08:00,f0f8841d270d
2018-11-30T01:55:54+08:00,e5f8531d270d
2018-11-30T02:00:55+08:00,e0f82e1d2a0d
2018-11-30T02:05:56+08:00,e3f8411d270d
2018-11-30T02:11:00+08:00,e5f8671d270d
2018-11-30T02:16:02+08:00,e5f8761d270d
2018-11-30T02:21:06+08:00,ddf83a1d270d
2018-11-30T02:26:09+08:00,ddf8341d2a0d
2018-11-30T02:31:11+08:00,e0f84d1d270d
2018-11-30T02:36:14+08:00,e4f86e1d270d
2018-11-30T02:41:16+08:00,ddf84e1d2a0d
2018-11-30T02:46:19+08:00,d9f8271d270d
2018-11-30T02:51:22+08:00,dbf8391d270d
2018-11-30T02:56:25+08:00,e0f8591d270d
2018-11-30T03:01:28+08:00,def8671d270d
2018-11-30T03:06:31+08:00,d5f8301d270d
2018-11-30T03:11:34+08:00,d3f8271d2a0d
2018-11-30T03:16:39+08:00,d8f83e1d270d
2018-11-30T03:21:43+08:00,dcf8611d2a0d
2018-11-30T03:26:44+08:00,d8f8531d2a0d
2018-11-30T03:31:48+08:00,d1f8221d270d
2018-11-30T03:36:51+08:00,d4f8291d270d
2018-11-30T03:41:56+08:00,d8f8481d270d
2018-11-30T03:46:57+08:00,dcf8611d2a0d
2018-11-30T03:52:00+08:00,d1f82e1d270d
2018-11-30T03:57:02+08:00,cef8171d270d
2018-11-30T04:02:06+08:00,d1f82c1d270d
2018-11-30T04:07:08+08:00,d6f84f1d270d
2018-11-30T04:12:09+08:00,d5f8531d270d
2018-11-30T04:17:10+08:00,ccf81a1d270d
2018-11-30T04:22:14+08:00,ccf8171d270d
2018-11-30T04:27:16+08:00,cef8341d270d
2018-11-30T04:32:18+08:00,d5f8551d270d
2018-11-30T04:37:22+08:00,ccf8371d270d
2018-11-30T04:42:25+08:00,c8f8111d270d
2018-11-30T04:47:26+08:00,ccf81d1d270d
2018-11-30T04:52:29+08:00,d1f83e1d270d
2018-11-30T04:57:34+08:00,d2f8541d270d
2018-11-30T05:02:35+08:00,ccf81f1d270d
2018-11-30T05:07:40+08:00,c8f80d1d270d
2018-11-30T05:12:42+08:00,caf8261d270d
2018-11-30T05:17:44+08:00,d0f8471d2a0d
2018-11-30T05:22:49+08:00,cef8421d270d
2018-11-30T05:27:51+08:00,c5f80d1d270d
2018-11-30T05:32:55+08:00,c7f80f1d270d
2018-11-30T05:37:58+08:00,ccf82d1d270d
2018-11-30T05:42:59+08:00,d0f84e1d270d
2018-11-30T05:48:03+08:00,c8f8291d270d
2018-11-30T05:53:04+08:00,c4f8061d270d
2018-11-30T05:58:08+08:00,c6f8131d270d
2018-11-30T06:03:12+08:00,ccf8351d270d
2018-11-30T06:08:14+08:00,d0f84a1d270d
2018-11-30T06:13:16+08:00,c4f80f1d270d
2018-11-30T06:18:17+08:00,c4f8041d270d
2018-11-30T06:23:18+08:00,c6f81a1d270d
2018-11-30T06:28:21+08:00,cef83e1d270d
2018-11-30T06:33:22+08:00,ccf83d1d2a0d
2018-11-30T06:38:27+08:00,c1f8041d270d
2018-11-30T06:43:29+08:00,c4f8051d270d
2018-11-30T06:48:29+08:00,caf8211d270d
2018-11-30T06:53:31+08:00,ccf8451d270d
2018-11-30T06:58:33+08:00,c6f8261d2a0d
2018-11-30T07:03:38+08:00,c0f8fd1c270d
2018-11-30T07:08:40+08:00,c3f8081d270d
2018-11-30T07:13:43+08:00,c7f82a1d270d
2018-11-30T07:18:44+08:00,ccf8441d270d
2018-11-30T07:23:46+08:00,c4f8141d270d
