������,Ӧ�ռ�¼,�յ���¼,ʱ��,ĩ��¼,�׼�¼
2018/12/1 Сʱ: 5,2018-12-01 05:01:00,2018-12-01 05:59:00,11.0,30.0,0.6333333333333333
2018/12/1 Сʱ: 6,2018-12-01 06:06:00,2018-12-01 06:55:00,9.0,26.0,0.6538461538461539
2018/12/1 Сʱ: 7,2018-12-01 07:02:00,2018-12-01 07:57:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 8,2018-12-01 08:03:00,2018-12-01 08:57:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 9,2018-12-01 09:02:00,2018-12-01 09:57:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 10,2018-12-01 10:02:00,2018-12-01 10:58:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 11,2018-12-01 11:04:00,2018-12-01 11:58:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 12,2018-12-01 12:04:00,2018-12-01 12:58:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 13,2018-12-01 13:03:00,2018-12-01 13:55:00,10.0,27.0,0.6296296296296297
2018/12/1 Сʱ: 14,2018-12-01 14:02:00,2018-12-01 14:54:00,10.0,27.0,0.6296296296296297
2018/12/1 Сʱ: 15,2018-12-01 15:00:00,2018-12-01 15:59:00,11.0,31.0,0.6451612903225806
2018/12/1 Сʱ: 16,2018-12-01 16:06:00,2018-12-01 16:54:00,9.0,25.0,0.64
2018/12/1 Сʱ: 17,2018-12-01 17:00:00,2018-12-01 17:54:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 18,2018-12-01 18:00:00,2018-12-01 18:55:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 19,2018-12-01 19:01:00,2018-12-01 19:59:00,11.0,30.0,0.6333333333333333
2018/12/1 Сʱ: 20,2018-12-01 20:04:00,2018-12-01 20:55:00,9.0,27.0,0.6666666666666667
2018/12/1 Сʱ: 21,2018-12-01 21:01:00,2018-12-01 21:56:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 22,2018-12-01 22:03:00,2018-12-01 22:58:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 23,2018-12-01 23:03:00,2018-12-01 23:58:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 0,2018-12-02 00:04:00,2018-12-02 00:59:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 1,2018-12-02 01:06:00,2018-12-02 01:59:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 2,2018-12-02 02:05:00,2018-12-02 02:54:00,9.0,26.0,0.6538461538461539
2018/12/2 Сʱ: 3,2018-12-02 03:01:00,2018-12-02 03:56:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 4,2018-12-02 04:02:00,2018-12-02 04:55:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 5,2018-12-02 05:01:00,2018-12-02 05:56:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 6,2018-12-02 06:02:00,2018-12-02 06:57:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 7,2018-12-02 07:02:00,2018-12-02 07:58:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 8,2018-12-02 08:05:00,2018-12-02 08:56:00,10.0,27.0,0.6296296296296297
2018/12/2 Сʱ: 9,2018-12-02 09:02:00,2018-12-02 09:59:00,11.0,30.0,0.6333333333333333
2018/12/2 Сʱ: 10,2018-12-02 10:06:00,2018-12-02 10:55:00,9.0,26.0,0.6538461538461539
2018/12/2 Сʱ: 11,2018-12-02 11:01:00,2018-12-02 11:58:00,11.0,30.0,0.6333333333333333
2018/12/2 Сʱ: 12,2018-12-02 12:05:00,2018-12-02 12:54:00,9.0,26.0,0.6538461538461539
2018/12/2 Сʱ: 13,2018-12-02 13:01:00,2018-12-02 13:57:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 14,2018-12-02 14:04:00,2018-12-02 14:58:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 15,2018-12-02 15:04:00,2018-12-02 15:59:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 16,2018-12-02 16:05:00,2018-12-02 16:55:00,9.0,26.0,0.6538461538461539
2018/12/2 Сʱ: 17,2018-12-02 17:00:00,2018-12-02 17:55:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 18,2018-12-02 18:01:00,2018-12-02 18:56:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 19,2018-12-02 19:02:00,2018-12-02 19:55:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 20,2018-12-02 20:01:00,2018-12-02 20:55:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 21,2018-12-02 21:01:00,2018-12-02 21:57:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 22,2018-12-02 22:03:00,2018-12-02 22:54:00,10.0,27.0,0.6296296296296297
2018/12/2 Сʱ: 23,2018-12-02 23:00:00,2018-12-02 23:58:00,11.0,30.0,0.6333333333333333
2018/12/3 Сʱ: 0,2018-12-03 00:05:00,2018-12-03 00:59:00,10.0,28.0,0.6428571428571428
2018/12/3 Сʱ: 1,2018-12-03 01:05:00,2018-12-03 01:59:00,10.0,28.0,0.6428571428571428
2018/12/3 Сʱ: 2,2018-12-03 02:05:00,2018-12-03 02:59:00,10.0,28.0,0.6428571428571428
2018/12/3 Сʱ: 3,2018-12-03 03:05:00,2018-12-03 03:59:00,10.0,28.0,0.6428571428571428
2018/12/3 Сʱ: 4,2018-12-03 04:05:00,2018-12-03 04:58:00,9.0,28.0,0.6785714285714286
2018/12/3 Сʱ: 5,2018-12-03 05:04:00,2018-12-03 05:59:00,10.0,29.0,0.6551724137931034
2018/12/3 Сʱ: 6,2018-12-03 06:04:00,2018-12-03 06:58:00,10.0,28.0,0.6428571428571428
2018/12/3 Сʱ: 7,2018-12-03 07:03:00,2018-12-03 07:56:00,10.0,28.0,0.6428571428571428
2018/12/3 Сʱ: 8,2018-12-03 08:02:00,2018-12-03 08:57:00,10.0,29.0,0.6551724137931034
2018/12/3 Сʱ: 9,2018-12-03 09:04:00,2018-12-03 09:57:00,10.0,28.0,0.6428571428571428
2018/12/3 Сʱ: 10,2018-12-03 10:02:00,2018-12-03 10:58:00,10.0,29.0,0.6551724137931034
2018/12/3 Сʱ: 11,2018-12-03 11:04:00,2018-12-03 11:56:00,9.0,27.0,0.6666666666666667
2018/12/3 Сʱ: 12,2018-12-03 12:02:00,2018-12-03 12:58:00,10.0,29.0,0.6551724137931034
2018/12/3 Сʱ: 13,2018-12-03 13:03:00,2018-12-03 13:55:00,10.0,27.0,0.6296296296296297
2018/12/3 Сʱ: 14,2018-12-03 14:00:00,2018-12-03 14:56:00,10.0,29.0,0.6551724137931034
2018/12/3 Сʱ: 15,2018-12-03 15:02:00,2018-12-03 15:59:00,10.0,30.0,0.6666666666666667
2018/12/3 Сʱ: 16,2018-12-03 16:05:00,2018-12-03 16:57:00,9.0,27.0,0.6666666666666667
2018/12/3 Сʱ: 17,2018-12-03 17:02:00,2018-12-03 17:58:00,10.0,29.0,0.6551724137931034
2018/12/3 Сʱ: 18,2018-12-03 18:04:00,2018-12-03 18:56:00,10.0,27.0,0.6296296296296297
2018/12/3 Сʱ: 19,2018-12-03 19:02:00,2018-12-03 19:57:00,10.0,29.0,0.6551724137931034
2018/12/3 Сʱ: 20,2018-12-03 20:04:00,2018-12-03 20:58:00,10.0,28.0,0.6428571428571428
2018/12/3 Сʱ: 21,2018-12-03 21:03:00,2018-12-03 21:54:00,9.0,27.0,0.6666666666666667
2018/12/3 Сʱ: 22,2018-12-03 22:00:00,2018-12-03 22:59:00,11.0,31.0,0.6451612903225806
2018/12/3 Сʱ: 23,2018-12-03 23:04:00,2018-12-03 23:58:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 0,2018-12-04 00:03:00,2018-12-04 00:59:00,10.0,29.0,0.6551724137931034
2018/12/4 Сʱ: 1,2018-12-04 01:05:00,2018-12-04 01:58:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 2,2018-12-04 02:04:00,2018-12-04 02:56:00,9.0,27.0,0.6666666666666667
2018/12/4 Сʱ: 3,2018-12-04 03:01:00,2018-12-04 03:54:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 4,2018-12-04 04:01:00,2018-12-04 04:56:00,10.0,29.0,0.6551724137931034
2018/12/4 Сʱ: 5,2018-12-04 05:02:00,2018-12-04 05:58:00,10.0,29.0,0.6551724137931034
2018/12/4 Сʱ: 6,2018-12-04 06:04:00,2018-12-04 06:59:00,10.0,29.0,0.6551724137931034
2018/12/4 Сʱ: 7,2018-12-04 07:11:00,2018-12-04 07:58:00,9.0,25.0,0.64
2018/12/4 Сʱ: 8,2018-12-04 08:05:00,2018-12-04 08:57:00,10.0,27.0,0.6296296296296297
2018/12/4 Сʱ: 9,2018-12-04 09:03:00,2018-12-04 09:59:00,10.0,29.0,0.6551724137931034
2018/12/4 Сʱ: 10,2018-12-04 10:05:00,2018-12-04 10:59:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 11,2018-12-04 11:05:00,2018-12-04 11:54:00,9.0,26.0,0.6538461538461539
2018/12/4 Сʱ: 12,2018-12-04 12:00:00,2018-12-04 12:54:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 13,2018-12-04 13:00:00,2018-12-04 13:54:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 14,2018-12-04 14:01:00,2018-12-04 14:55:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 15,2018-12-04 15:01:00,2018-12-04 15:55:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 16,2018-12-04 16:01:00,2018-12-04 16:55:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 17,2018-12-04 17:01:00,2018-12-04 17:54:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 18,2018-12-04 18:00:00,2018-12-04 18:57:00,10.0,30.0,0.6666666666666667
2018/12/4 Сʱ: 19,2018-12-04 19:04:00,2018-12-04 19:57:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 20,2018-12-04 20:04:00,2018-12-04 20:58:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 21,2018-12-04 21:03:00,2018-12-04 21:58:00,10.0,29.0,0.6551724137931034
2018/12/4 Сʱ: 22,2018-12-04 22:04:00,2018-12-04 22:58:00,10.0,28.0,0.6428571428571428
2018/12/4 Сʱ: 23,2018-12-04 23:03:00,2018-12-04 23:57:00,10.0,28.0,0.6428571428571428
2018/12/5 Сʱ: 0,2018-12-05 00:03:00,2018-12-05 00:53:00,9.0,26.0,0.6538461538461539
2018/12/5 Сʱ: 1,2018-12-05 01:00:00,2018-12-05 01:58:00,11.0,30.0,0.6333333333333333
2018/12/5 Сʱ: 2,2018-12-05 02:03:00,2018-12-05 02:54:00,9.0,27.0,0.6666666666666667
2018/12/5 Сʱ: 3,2018-12-05 03:00:00,2018-12-05 03:54:00,10.0,28.0,0.6428571428571428
2018/12/5 Сʱ: 4,2018-12-05 04:00:00,2018-12-05 04:55:00,10.0,29.0,0.6551724137931034
2018/12/5 Сʱ: 5,2018-12-05 05:01:00,2018-12-05 05:58:00,10.0,30.0,0.6666666666666667
2018/12/5 Сʱ: 6,2018-12-05 06:04:00,2018-12-05 06:58:00,10.0,28.0,0.6428571428571428
2018/12/5 Сʱ: 7,2018-12-05 07:03:00,2018-12-05 07:55:00,10.0,27.0,0.6296296296296297
2018/12/5 Сʱ: 8,2018-12-05 08:01:00,2018-12-05 08:58:00,11.0,30.0,0.6333333333333333
2018/12/5 Сʱ: 9,2018-12-05 09:04:00,2018-12-05 09:59:00,10.0,29.0,0.6551724137931034
2018/12/5 Сʱ: 10,2018-12-05 10:05:00,2018-12-05 10:59:00,10.0,28.0,0.6428571428571428
2018/12/5 Сʱ: 11,2018-12-05 11:05:00,2018-12-05 11:59:00,10.0,28.0,0.6428571428571428
2018/12/5 Сʱ: 12,2018-12-05 12:04:00,2018-12-05 12:59:00,10.0,29.0,0.6551724137931034
2018/12/5 Сʱ: 13,2018-12-05 13:05:00,2018-12-05 13:58:00,10.0,28.0,0.6428571428571428
2018/12/5 Сʱ: 14,2018-12-05 14:03:00,2018-12-05 14:53:00,9.0,26.0,0.6538461538461539
2018/12/5 Сʱ: 15,2018-12-05 15:00:00,2018-12-05 15:55:00,10.0,29.0,0.6551724137931034
2018/12/5 Сʱ: 16,2018-12-05 16:01:00,2018-12-05 16:57:00,10.0,29.0,0.6551724137931034
2018/12/5 Сʱ: 17,2018-12-05 17:04:00,2018-12-05 17:54:00,10.0,26.0,0.6153846153846154
2018/12/5 Сʱ: 18,2018-12-05 18:00:00,2018-12-05 18:56:00,10.0,29.0,0.6551724137931034
2018/12/5 Сʱ: 19,2018-12-05 19:03:00,2018-12-05 19:56:00,10.0,28.0,0.6428571428571428
2018/12/5 Сʱ: 20,2018-12-05 20:01:00,2018-12-05 20:57:00,10.0,29.0,0.6551724137931034
2018/12/5 Сʱ: 21,2018-12-05 21:03:00,2018-12-05 21:56:00,10.0,28.0,0.6428571428571428
2018/12/5 Сʱ: 22,2018-12-05 22:02:00,2018-12-05 22:55:00,10.0,28.0,0.6428571428571428
2018/12/5 Сʱ: 23,2018-12-05 23:00:00,2018-12-05 23:54:00,10.0,28.0,0.6428571428571428
