time,data
2018-11-17T08:53:43+08:00,4af8471d220d
2018-11-17T08:58:44+08:00,4bf85c1d1f0d
2018-11-17T09:03:48+08:00,4df8671d1f0d
2018-11-17T09:08:52+08:00,48f8471d1f0d
2018-11-17T09:13:54+08:00,45f8361d1f0d
2018-11-17T09:18:57+08:00,43f8371d1f0d
2018-11-17T09:23:59+08:00,48f8491d220d
2018-11-17T09:29:02+08:00,4bf85f1d160d
2018-11-17T09:34:04+08:00,4af85b1d1d0d
2018-11-17T09:39:06+08:00,45f83c1d160d
2018-11-17T09:44:11+08:00,41f8301d260d
2018-11-17T09:49:12+08:00,43f8381d230d
2018-11-17T09:54:16+08:00,48f8501d230d
2018-11-17T09:59:20+08:00,4df86b1d1f0d
2018-11-17T10:04:22+08:00,4bf8671d1f0d
2018-11-17T10:09:22+08:00,47f8421d220d
2018-11-17T10:14:23+08:00,45f8351d1f0d
2018-11-17T10:19:23+08:00,45f83d1d1a0d
2018-11-17T10:24:28+08:00,48f8531d230d
2018-11-17T10:29:31+08:00,4bf86b1d1f0d
2018-11-17T10:34:35+08:00,4df86d1d1f0d
2018-11-17T10:39:37+08:00,49f8471d1a0d
2018-11-17T10:44:41+08:00,48f83a1d1a0d
2018-11-17T10:49:42+08:00,48f8401d1e0d
2018-11-17T10:54:45+08:00,48f8531d220d
2018-11-17T10:59:50+08:00,4df8691d1a0d
2018-11-17T11:04:53+08:00,4bf8611d1a0d
2018-11-17T11:09:54+08:00,48f8401d1f0d
2018-11-17T11:14:59+08:00,45f8371d1f0d
2018-11-17T11:20:01+08:00,45f8421d1a0d
2018-11-17T11:25:03+08:00,4bf8571d1e0d
2018-11-17T11:30:08+08:00,4ef86e1d160d
2018-11-17T11:35:13+08:00,4df8651d220d
2018-11-17T11:40:14+08:00,45f8421d230d
2018-11-17T11:45:17+08:00,44f8361d160d
2018-11-17T11:50:20+08:00,45f8401d230d
2018-11-17T11:55:22+08:00,4af8541d1a0d
2018-11-17T12:00:24+08:00,4cf8681d1f0d
2018-11-17T12:05:28+08:00,49f8571d1f0d
2018-11-17T12:10:31+08:00,43f83b1d1a0d
2018-11-17T12:15:34+08:00,42f8321d230d
2018-11-17T12:20:35+08:00,43f8401d1f0d
2018-11-17T12:25:40+08:00,45f85b1d1f0d
2018-11-17T12:30:41+08:00,49f8651d1a0d
2018-11-17T12:35:44+08:00,45f84e1d160d
2018-11-17T12:40:46+08:00,41f8361d1f0d
2018-11-17T12:45:51+08:00,40f83a1d230d
2018-11-17T12:50:52+08:00,43f84a1d1a0d
2018-11-17T12:55:55+08:00,48f8631d230d
2018-11-17T13:00:59+08:00,4cf8711d230d
2018-11-17T13:06:01+08:00,48f8571d270d
2018-11-17T13:11:06+08:00,43f83a1d160d
2018-11-17T13:16:10+08:00,43f83a1d1f0d
2018-11-17T13:21:10+08:00,45f84c1d230d
2018-11-17T13:26:14+08:00,4af8641d230d
2018-11-17T13:31:16+08:00,4ff8751d1f0d
2018-11-17T13:36:19+08:00,4bf8611d230d
2018-11-17T13:41:22+08:00,47f8471d1f0d
2018-11-17T13:46:26+08:00,44f8431d1f0d
2018-11-17T13:51:31+08:00,49f8511d1e0d
2018-11-17T13:56:34+08:00,4df8671d1f0d
2018-11-17T14:01:35+08:00,50f8771d1a0d
2018-11-17T14:06:36+08:00,4cf85b1d1e0d
2018-11-17T14:11:41+08:00,45f83d1d1a0d
2018-11-17T14:16:43+08:00,45f83e1d1f0d
2018-11-17T14:21:44+08:00,47f84d1d270d
2018-11-17T14:26:46+08:00,4df8621d1f0d
2018-11-17T14:31:48+08:00,4ff8741d1a0d
2018-11-17T14:36:48+08:00,4af85b1d270d
2018-11-17T14:41:52+08:00,48f8421d220d
2018-11-17T14:46:55+08:00,45f83e1d230d
2018-11-17T14:51:57+08:00,47f84c1d230d
2018-11-17T14:56:58+08:00,4cf8631d1a0d
2018-11-17T15:02:01+08:00,4ef86f1d230d
2018-11-17T15:07:03+08:00,49f8541d230d
2018-11-17T15:12:04+08:00,45f83b1d1a0d
2018-11-17T15:17:06+08:00,40f83d1d1f0d
2018-11-17T15:22:08+08:00,45f84d1d160d
2018-11-17T15:27:10+08:00,4bf8641d1f0d
2018-11-17T15:32:15+08:00,4df8721d230d
2018-11-17T15:37:18+08:00,48f8571d1f0d
2018-11-17T15:42:21+08:00,44f83b1d1f0d
2018-11-17T15:47:27+08:00,43f83e1d230d
2018-11-17T15:52:29+08:00,48f84e1d1a0d
2018-11-17T15:57:32+08:00,4df8681d1a0d
2018-11-17T16:02:35+08:00,4ff8771d1f0d
