������,Ӧ�ռ�¼,�յ���¼,ʱ��,ĩ��¼,�׼�¼
2018/11/29 Сʱ: 21,2018-11-29 21:02:35,2018-11-29 21:58:08,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 22,2018-11-29 22:03:12,2018-11-29 22:58:33,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 23,2018-11-29 23:03:38,2018-11-29 23:59:04,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 0,2018-11-30 00:04:05,2018-11-30 00:59:37,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 1,2018-11-30 01:04:41,2018-11-30 01:55:11,11.0,26.0,0.5769230769230769
2018/11/30 Сʱ: 2,2018-11-30 02:00:11,2018-11-30 02:55:49,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 3,2018-11-30 03:00:49,2018-11-30 03:56:24,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 4,2018-11-30 04:01:28,2018-11-30 04:56:58,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 5,2018-11-30 05:01:59,2018-11-30 05:57:34,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 6,2018-11-30 06:02:36,2018-11-30 06:58:02,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 7,2018-11-30 07:03:06,2018-11-30 07:58:38,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 8,2018-11-30 08:03:40,2018-11-30 08:59:06,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 9,2018-11-30 09:04:08,2018-11-30 09:59:25,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 10,2018-11-30 10:04:28,2018-11-30 10:59:59,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 11,2018-11-30 11:05:04,2018-11-30 11:55:36,11.0,26.0,0.5769230769230769
2018/11/30 Сʱ: 12,2018-11-30 12:00:37,2018-11-30 12:56:06,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 13,2018-11-30 13:01:09,2018-11-30 13:56:37,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 14,2018-11-30 14:01:37,2018-11-30 14:57:05,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 15,2018-11-30 15:02:06,2018-11-30 15:57:39,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 16,2018-11-30 16:02:41,2018-11-30 16:58:08,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 17,2018-11-30 17:03:11,2018-11-30 17:58:44,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 18,2018-11-30 18:03:49,2018-11-30 18:59:18,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 19,2018-11-30 19:04:23,2018-11-30 19:59:52,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 20,2018-11-30 20:04:55,2018-11-30 20:55:19,10.0,26.0,0.6153846153846154
2018/11/30 Сʱ: 21,2018-11-30 21:00:23,2018-11-30 21:55:58,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 22,2018-11-30 22:01:02,2018-11-30 22:56:34,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 23,2018-11-30 23:01:35,2018-11-30 23:57:06,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 0,2018-12-01 00:02:11,2018-12-01 00:57:45,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 1,2018-12-01 01:02:47,2018-12-01 01:58:21,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 2,2018-12-01 02:03:24,2018-12-01 02:58:47,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 3,2018-12-01 03:03:48,2018-12-01 03:54:17,11.0,26.0,0.5769230769230769
2018/12/1 Сʱ: 4,2018-12-01 04:04:21,2018-12-01 04:59:40,11.0,29.0,0.6206896551724138
2018/12/1 Сʱ: 5,2018-12-01 05:09:49,2018-12-01 05:55:09,10.0,24.0,0.5833333333333333
2018/12/1 Сʱ: 6,2018-12-01 06:00:11,2018-12-01 06:55:32,11.0,29.0,0.6206896551724138
2018/12/1 Сʱ: 7,2018-12-01 07:00:34,2018-12-01 07:56:02,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 8,2018-12-01 08:01:05,2018-12-01 08:56:35,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 9,2018-12-01 09:01:37,2018-12-01 09:57:10,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 10,2018-12-01 10:02:12,2018-12-01 10:57:48,9.0,29.0,0.6896551724137931
2018/12/1 Сʱ: 11,2018-12-01 11:02:52,2018-12-01 11:58:31,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 12,2018-12-01 12:03:36,2018-12-01 12:59:07,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 13,2018-12-01 13:04:10,2018-12-01 13:59:41,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 14,2018-12-01 14:04:43,2018-12-01 14:55:07,11.0,26.0,0.5769230769230769
2018/12/1 Сʱ: 15,2018-12-01 15:00:12,2018-12-01 15:55:39,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 16,2018-12-01 16:00:43,2018-12-01 16:56:08,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 17,2018-12-01 17:01:09,2018-12-01 17:56:50,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 18,2018-12-01 18:01:54,2018-12-01 18:57:29,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 19,2018-12-01 19:02:32,2018-12-01 19:57:57,11.0,29.0,0.6206896551724138
2018/12/1 Сʱ: 20,2018-12-01 20:02:58,2018-12-01 20:58:23,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 21,2018-12-01 21:03:24,2018-12-01 21:58:56,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 22,2018-12-01 22:04:01,2018-12-01 22:59:31,11.0,29.0,0.6206896551724138
2018/12/1 Сʱ: 23,2018-12-01 23:04:36,2018-12-01 23:54:57,11.0,26.0,0.5769230769230769
2018/12/2 Сʱ: 0,2018-12-02 00:00:00,2018-12-02 00:55:36,11.0,29.0,0.6206896551724138
2018/12/2 Сʱ: 1,2018-12-02 01:00:37,2018-12-02 01:56:05,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 2,2018-12-02 02:01:09,2018-12-02 02:56:45,11.0,29.0,0.6206896551724138
2018/12/2 Сʱ: 3,2018-12-02 03:01:46,2018-12-02 03:57:20,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 4,2018-12-02 04:02:25,2018-12-02 04:57:55,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 5,2018-12-02 05:02:59,2018-12-02 05:58:20,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 6,2018-12-02 06:03:21,2018-12-02 06:58:54,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 7,2018-12-02 07:03:58,2018-12-02 07:59:21,11.0,29.0,0.6206896551724138
2018/12/2 Сʱ: 8,2018-12-02 08:04:25,2018-12-02 08:59:58,11.0,29.0,0.6206896551724138
2018/12/2 Сʱ: 9,2018-12-02 09:05:00,2018-12-02 09:55:32,11.0,26.0,0.5769230769230769
2018/12/2 Сʱ: 10,2018-12-02 10:00:33,2018-12-02 10:56:02,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 11,2018-12-02 11:01:04,2018-12-02 11:56:30,11.0,29.0,0.6206896551724138
2018/12/2 Сʱ: 12,2018-12-02 12:01:31,2018-12-02 12:57:01,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 13,2018-12-02 13:02:06,2018-12-02 13:57:42,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 14,2018-12-02 14:02:45,2018-12-02 14:58:22,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 15,2018-12-02 15:03:27,2018-12-02 15:58:51,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 16,2018-12-02 16:03:52,2018-12-02 16:59:20,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 17,2018-12-02 17:04:22,2018-12-02 17:59:50,11.0,29.0,0.6206896551724138
2018/12/2 Сʱ: 18,2018-12-02 18:04:52,2018-12-02 18:55:16,10.0,26.0,0.6153846153846154
2018/12/2 Сʱ: 19,2018-12-02 19:00:18,2018-12-02 19:55:48,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 20,2018-12-02 20:00:49,2018-12-02 20:56:16,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 21,2018-12-02 21:01:18,2018-12-02 21:56:51,12.0,29.0,0.5862068965517242
2018/12/2 Сʱ: 22,2018-12-02 22:01:56,2018-12-02 22:57:29,11.0,29.0,0.6206896551724138
2018/12/2 Сʱ: 23,2018-12-02 23:02:31,2018-12-02 23:57:58,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 0,2018-12-03 00:03:00,2018-12-03 00:58:29,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 1,2018-12-03 01:03:33,2018-12-03 01:59:01,10.0,29.0,0.6551724137931034
2018/12/3 Сʱ: 2,2018-12-03 02:04:03,2018-12-03 02:59:31,11.0,29.0,0.6206896551724138
2018/12/3 Сʱ: 3,2018-12-03 03:04:35,2018-12-03 03:55:06,10.0,26.0,0.6153846153846154
2018/12/3 Сʱ: 4,2018-12-03 04:00:07,2018-12-03 04:55:39,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 5,2018-12-03 05:00:40,2018-12-03 05:56:02,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 6,2018-12-03 06:01:05,2018-12-03 06:56:33,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 7,2018-12-03 07:01:36,2018-12-03 07:57:03,11.0,29.0,0.6206896551724138
2018/12/3 Сʱ: 8,2018-12-03 08:02:07,2018-12-03 08:57:41,11.0,29.0,0.6206896551724138
2018/12/3 Сʱ: 9,2018-12-03 09:02:44,2018-12-03 09:58:11,12.0,29.0,0.5862068965517242
