ʱ��,�׼�¼,ĩ��¼,�յ���¼,Ӧ�ռ�¼,������
2018/12/14 Сʱ: 0,2018-12-14 00:01:00,2018-12-14 00:55:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 1,2018-12-14 01:01:00,2018-12-14 01:54:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 2,2018-12-14 02:00:00,2018-12-14 02:55:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 3,2018-12-14 03:01:00,2018-12-14 03:55:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 4,2018-12-14 04:00:00,2018-12-14 04:57:00,10.0,30.0,0.6666666666666667
2018/12/14 Сʱ: 5,2018-12-14 05:04:00,2018-12-14 05:59:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 6,2018-12-14 06:05:00,2018-12-14 06:53:00,9.0,25.0,0.64
2018/12/14 Сʱ: 7,2018-12-14 07:00:00,2018-12-14 07:56:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 8,2018-12-14 08:01:00,2018-12-14 08:59:00,11.0,30.0,0.6333333333333333
2018/12/14 Сʱ: 9,2018-12-14 09:05:00,2018-12-14 09:58:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 10,2018-12-14 10:04:00,2018-12-14 10:59:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 11,2018-12-14 11:04:00,2018-12-14 11:54:00,9.0,26.0,0.6538461538461539
2018/12/14 Сʱ: 12,2018-12-14 12:01:00,2018-12-14 12:55:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 13,2018-12-14 13:01:00,2018-12-14 13:59:00,10.0,30.0,0.6666666666666667
2018/12/14 Сʱ: 14,2018-12-14 14:05:00,2018-12-14 14:55:00,9.0,26.0,0.6538461538461539
2018/12/14 Сʱ: 15,2018-12-14 15:01:00,2018-12-14 15:54:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 16,2018-12-14 16:00:00,2018-12-14 16:56:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 17,2018-12-14 17:02:00,2018-12-14 17:58:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 18,2018-12-14 18:05:00,2018-12-14 18:53:00,9.0,25.0,0.64
2018/12/14 Сʱ: 19,2018-12-14 19:00:00,2018-12-14 19:53:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 20,2018-12-14 20:00:00,2018-12-14 20:59:00,11.0,31.0,0.6451612903225806
2018/12/14 Сʱ: 21,2018-12-14 21:05:00,2018-12-14 21:55:00,9.0,26.0,0.6538461538461539
2018/12/14 Сʱ: 22,2018-12-14 22:01:00,2018-12-14 22:55:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 23,2018-12-14 23:02:00,2018-12-14 23:54:00,10.0,27.0,0.6296296296296297
2018/12/15 Сʱ: 0,2018-12-15 00:00:00,2018-12-15 00:58:00,11.0,30.0,0.6333333333333333
2018/12/15 Сʱ: 1,2018-12-15 01:05:00,2018-12-15 01:58:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 2,2018-12-15 02:05:00,2018-12-15 02:59:00,9.0,28.0,0.6785714285714286
2018/12/15 Сʱ: 3,2018-12-15 03:05:00,2018-12-15 03:55:00,9.0,26.0,0.6538461538461539
2018/12/15 Сʱ: 4,2018-12-15 04:00:00,2018-12-15 04:59:00,11.0,31.0,0.6451612903225806
2018/12/15 Сʱ: 5,2018-12-15 05:10:00,2018-12-15 05:58:00,9.0,25.0,0.64
2018/12/15 Сʱ: 6,2018-12-15 06:05:00,2018-12-15 06:58:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 7,2018-12-15 07:05:00,2018-12-15 07:58:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 8,2018-12-15 08:05:00,2018-12-15 08:58:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 9,2018-12-15 09:05:00,2018-12-15 09:54:00,9.0,26.0,0.6538461538461539
2018/12/15 Сʱ: 10,2018-12-15 10:01:00,2018-12-15 10:56:00,10.0,29.0,0.6551724137931034
2018/12/15 Сʱ: 11,2018-12-15 11:01:00,2018-12-15 11:54:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 12,2018-12-15 12:00:00,2018-12-15 12:57:00,11.0,30.0,0.6333333333333333
2018/12/15 Сʱ: 13,2018-12-15 13:02:00,2018-12-15 13:57:00,10.0,29.0,0.6551724137931034
2018/12/15 Сʱ: 14,2018-12-15 14:03:00,2018-12-15 14:53:00,9.0,26.0,0.6538461538461539
2018/12/15 Сʱ: 15,2018-12-15 15:00:00,2018-12-15 15:55:00,10.0,29.0,0.6551724137931034
2018/12/15 Сʱ: 16,2018-12-15 16:01:00,2018-12-15 16:54:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 17,2018-12-15 17:01:00,2018-12-15 17:55:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 18,2018-12-15 18:00:00,2018-12-15 18:54:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 19,2018-12-15 19:00:00,2018-12-15 19:54:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 20,2018-12-15 20:00:00,2018-12-15 20:55:00,10.0,29.0,0.6551724137931034
2018/12/15 Сʱ: 21,2018-12-15 21:01:00,2018-12-15 21:57:00,10.0,29.0,0.6551724137931034
2018/12/15 Сʱ: 22,2018-12-15 22:02:00,2018-12-15 22:57:00,10.0,29.0,0.6551724137931034
2018/12/15 Сʱ: 23,2018-12-15 23:03:00,2018-12-15 23:59:00,11.0,29.0,0.6206896551724138
2018/12/16 Сʱ: 0,2018-12-16 00:04:00,2018-12-16 00:56:00,10.0,27.0,0.6296296296296297
2018/12/16 Сʱ: 1,2018-12-16 01:02:00,2018-12-16 01:55:00,10.0,28.0,0.6428571428571428
2018/12/16 Сʱ: 2,2018-12-16 02:02:00,2018-12-16 02:55:00,10.0,28.0,0.6428571428571428
2018/12/16 Сʱ: 3,2018-12-16 03:02:00,2018-12-16 03:55:00,10.0,28.0,0.6428571428571428
2018/12/16 Сʱ: 4,2018-12-16 04:01:00,2018-12-16 04:55:00,10.0,28.0,0.6428571428571428
2018/12/16 Сʱ: 5,2018-12-16 05:00:00,2018-12-16 05:54:00,10.0,28.0,0.6428571428571428
