time,data
2018-12-21T11:29:01+08:00,cffb5d1a3c0d
2018-12-21T11:34:03+08:00,95fb731a3c0d
2018-12-21T11:39:05+08:00,60fb771a2f0d
2018-12-21T11:44:07+08:00,34fb8f1a330d
2018-12-21T11:49:09+08:00,0ffbb31a2a0d
2018-12-21T11:54:11+08:00,ebfac11a330d
2018-12-21T11:59:16+08:00,cbfac41a2a0d
2018-12-21T12:04:16+08:00,aefad61a2a0d
2018-12-21T12:09:18+08:00,95faf21a2a0d
2018-12-21T12:14:23+08:00,82fa001b270d
2018-12-21T12:19:27+08:00,6cfafd1a270d
2018-12-21T12:24:28+08:00,8afa5a1c1e0d
2018-12-21T12:29:33+08:00,8efa391c270d
2018-12-21T12:34:35+08:00,83fafa1b270d
2018-12-21T12:39:39+08:00,72fabc1b270d
2018-12-21T12:44:42+08:00,62faa41b270d
2018-12-21T12:49:44+08:00,53faae1b270d
2018-12-21T12:54:45+08:00,45fabf1b270d
2018-12-21T12:59:49+08:00,39fac21b1e0d
2018-12-21T13:04:53+08:00,2afabd1b1e0d
2018-12-21T13:09:55+08:00,1ffac71b1a0d
2018-12-21T13:14:56+08:00,17fadc1b1a0d
2018-12-21T13:20:01+08:00,0dfae91b1a0d
2018-12-21T13:25:04+08:00,0efa4b1c1e0d
2018-12-21T13:30:06+08:00,26fac51c1e0d
2018-12-21T13:35:09+08:00,24fa561c1e0d
2018-12-21T13:40:11+08:00,21fa121c160d
2018-12-21T13:45:11+08:00,16fae21b1a0d
2018-12-21T13:50:14+08:00,0bface1b160d
2018-12-21T13:55:18+08:00,2bfac91c1a0d
2018-12-21T14:00:20+08:00,35fa5f1c160d
2018-12-21T14:05:23+08:00,29faf61b1a0d
2018-12-21T14:10:27+08:00,1efaba1b1a0d
2018-12-21T14:15:32+08:00,14fab21b160d
2018-12-21T14:20:34+08:00,0bfac11b160d
2018-12-21T14:25:38+08:00,01fabf1b1a0d
2018-12-21T14:30:40+08:00,f6f9aa1b1a0d
2018-12-21T14:35:43+08:00,ebf9ae1b1a0d
2018-12-21T14:40:47+08:00,e7f9c41b160d
2018-12-21T14:45:50+08:00,dff9d51b160d
2018-12-21T14:50:52+08:00,d7f9c61b110d
2018-12-21T14:55:52+08:00,cef9bf1b160d
2018-12-21T15:00:55+08:00,caf9ce1b1a0d
2018-12-21T15:05:56+08:00,c6f9e21b1a0d
2018-12-21T15:10:56+08:00,c1f9e61b110d
2018-12-21T15:16:00+08:00,bcf9d71b160d
2018-12-21T15:21:05+08:00,b4f9d81b160d
2018-12-21T15:26:10+08:00,b4f9e81b160d
2018-12-21T15:31:13+08:00,b3f9f91b160d
2018-12-21T15:36:16+08:00,adf9f21b1a0d
2018-12-21T15:41:18+08:00,a8f9e61b160d
2018-12-21T15:46:22+08:00,0afaef1d160d
2018-12-21T15:51:25+08:00,47faf51e1a0d
2018-12-21T15:56:30+08:00,4bfa581e160d
2018-12-21T16:01:33+08:00,41faa51d1a0d
2018-12-21T16:06:37+08:00,34fa2e1d1e0d
2018-12-21T16:11:42+08:00,3efa611d160d
2018-12-21T16:16:44+08:00,72faf21d1a0d
2018-12-21T16:21:47+08:00,72fa251d1a0d
2018-12-21T16:26:49+08:00,62fa9b1c160d
2018-12-21T16:31:51+08:00,50fa5c1c1a0d
2018-12-21T16:36:56+08:00,59faef1c1a0d
2018-12-21T16:42:01+08:00,b9fa1e1e1a0d
2018-12-21T16:47:03+08:00,c7fae41c1e0d
2018-12-21T16:52:06+08:00,b7fa241c270d
2018-12-21T16:57:11+08:00,9ffae31b1a0d
2018-12-21T17:02:15+08:00,c3fad51c1a0d
2018-12-21T17:07:19+08:00,05fb911d1a0d
2018-12-21T17:12:19+08:00,67fb541d270d
2018-12-21T17:17:21+08:00,73fb211c270d
2018-12-21T17:22:25+08:00,93fbe31b270d
2018-12-21T17:27:28+08:00,7afbde1a270d
2018-12-21T17:32:31+08:00,72fb071b270d
2018-12-21T17:37:33+08:00,51fb9d1a270d
2018-12-21T17:42:35+08:00,46fb061b270d
2018-12-21T17:47:36+08:00,32fbe61a270d
2018-12-21T17:52:40+08:00,4dfb831b270d
2018-12-21T17:57:45+08:00,53fbcf1b270d
2018-12-21T18:02:46+08:00,81fb6b1c270d
2018-12-21T18:07:50+08:00,72fb6d1b2a0d
2018-12-21T18:12:55+08:00,4ffbbe1a2a0d
2018-12-21T18:17:59+08:00,28fba81a2a0d
2018-12-21T18:23:04+08:00,03fb571a2a0d
2018-12-21T18:28:07+08:00,cdfae819270d
2018-12-21T18:33:11+08:00,b5fafd19270d
2018-12-21T18:38:15+08:00,a4fa491a270d
2018-12-21T18:43:18+08:00,8cfa201a270d
2018-12-21T18:48:21+08:00,73fa351a270d
2018-12-21T18:53:22+08:00,67fa6a1a270d
2018-12-21T18:58:23+08:00,5ffac61a230d
2018-12-21T19:03:28+08:00,4dfad01a1e0d
2018-12-21T19:08:31+08:00,42faa71a1e0d
2018-12-21T19:13:33+08:00,35facc1a1e0d
2018-12-21T19:18:37+08:00,4ffa381c270d
2018-12-21T19:23:38+08:00,77fa951d1e0d
2018-12-21T19:28:41+08:00,7ffa881d1a0d
2018-12-21T19:33:43+08:00,79fa4a1d1a0d
2018-12-21T19:38:47+08:00,68fa0a1d270d
2018-12-21T19:43:49+08:00,59faea1c270d
2018-12-21T19:48:51+08:00,4ffad71c270d
2018-12-21T19:53:55+08:00,41fad41c270d
2018-12-21T19:58:58+08:00,37faca1c1e0d
2018-12-21T20:04:03+08:00,5dfaf81d1e0d
2018-12-21T20:09:06+08:00,9efa141f270d
2018-12-21T20:14:06+08:00,aefa261e1e0d
2018-12-21T20:19:10+08:00,a2fa501d1e0d
2018-12-21T20:24:13+08:00,92fae61c230d
2018-12-21T20:29:16+08:00,7dfaba1c270d
2018-12-21T20:34:20+08:00,6bfaaa1c270d
2018-12-21T20:39:25+08:00,54fa901c1e0d
2018-12-21T20:44:28+08:00,45fa861c1a0d
2018-12-21T20:49:28+08:00,39fa8a1c230d
2018-12-21T20:54:29+08:00,2dfa921c270d
2018-12-21T20:59:32+08:00,1cfa871c1e0d
2018-12-21T21:04:35+08:00,12fa801c1a0d
2018-12-21T21:09:38+08:00,09fa871c1a0d
