ʱ��,�׼�¼,ĩ��¼,�յ���¼,Ӧ�ռ�¼,������
2018/12/14 Сʱ: 0,2018-12-14 00:02:00,2018-12-14 00:58:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 1,2018-12-14 01:03:00,2018-12-14 01:58:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 2,2018-12-14 02:03:00,2018-12-14 02:59:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 3,2018-12-14 03:04:00,2018-12-14 03:59:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 4,2018-12-14 04:04:00,2018-12-14 04:54:00,11.0,26.0,0.5769230769230769
2018/12/14 Сʱ: 5,2018-12-14 05:00:00,2018-12-14 05:55:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 6,2018-12-14 06:00:00,2018-12-14 06:56:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 7,2018-12-14 07:01:00,2018-12-14 07:56:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 8,2018-12-14 08:01:00,2018-12-14 08:56:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 9,2018-12-14 09:01:00,2018-12-14 09:57:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 10,2018-12-14 10:02:00,2018-12-14 10:58:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 11,2018-12-14 11:03:00,2018-12-14 11:58:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 12,2018-12-14 12:03:00,2018-12-14 12:59:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 13,2018-12-14 13:04:00,2018-12-14 13:59:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 14,2018-12-14 14:04:00,2018-12-14 14:55:00,11.0,27.0,0.5925925925925926
2018/12/14 Сʱ: 15,2018-12-14 15:00:00,2018-12-14 15:55:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 16,2018-12-14 16:00:00,2018-12-14 16:56:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 17,2018-12-14 17:01:00,2018-12-14 17:56:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 18,2018-12-14 18:01:00,2018-12-14 18:57:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 19,2018-12-14 19:02:00,2018-12-14 19:57:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 20,2018-12-14 20:02:00,2018-12-14 20:58:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 21,2018-12-14 21:03:00,2018-12-14 21:58:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 22,2018-12-14 22:03:00,2018-12-14 22:59:00,12.0,29.0,0.5862068965517242
2018/12/14 Сʱ: 23,2018-12-14 23:04:00,2018-12-14 23:55:00,11.0,27.0,0.5925925925925926
2018/12/15 Сʱ: 0,2018-12-15 00:00:00,2018-12-15 00:55:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 1,2018-12-15 01:00:00,2018-12-15 01:55:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 2,2018-12-15 02:00:00,2018-12-15 02:56:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 3,2018-12-15 03:01:00,2018-12-15 03:56:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 4,2018-12-15 04:02:00,2018-12-15 04:57:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 5,2018-12-15 05:02:00,2018-12-15 05:58:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 6,2018-12-15 06:03:00,2018-12-15 06:58:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 7,2018-12-15 07:03:00,2018-12-15 07:59:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 8,2018-12-15 08:04:00,2018-12-15 08:59:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 9,2018-12-15 09:04:00,2018-12-15 09:55:00,11.0,27.0,0.5925925925925926
2018/12/15 Сʱ: 10,2018-12-15 10:00:00,2018-12-15 10:55:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 11,2018-12-15 11:00:00,2018-12-15 11:56:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 12,2018-12-15 12:01:00,2018-12-15 12:56:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 13,2018-12-15 13:01:00,2018-12-15 13:57:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 14,2018-12-15 14:02:00,2018-12-15 14:58:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 15,2018-12-15 15:03:00,2018-12-15 15:58:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 16,2018-12-15 16:03:00,2018-12-15 16:59:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 17,2018-12-15 17:04:00,2018-12-15 17:59:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 18,2018-12-15 18:04:00,2018-12-15 18:55:00,11.0,27.0,0.5925925925925926
2018/12/15 Сʱ: 19,2018-12-15 19:00:00,2018-12-15 19:55:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 20,2018-12-15 20:00:00,2018-12-15 20:56:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 21,2018-12-15 21:01:00,2018-12-15 21:56:00,9.0,29.0,0.6896551724137931
2018/12/15 Сʱ: 22,2018-12-15 22:01:00,2018-12-15 22:57:00,12.0,29.0,0.5862068965517242
2018/12/15 Сʱ: 23,2018-12-15 23:02:00,2018-12-15 23:57:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 0,2018-12-16 00:02:00,2018-12-16 00:58:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 1,2018-12-16 01:03:00,2018-12-16 01:58:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 2,2018-12-16 02:03:00,2018-12-16 02:59:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 3,2018-12-16 03:04:00,2018-12-16 03:55:00,11.0,27.0,0.5925925925925926
2018/12/16 Сʱ: 4,2018-12-16 04:00:00,2018-12-16 04:55:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 5,2018-12-16 05:00:00,2018-12-16 05:55:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 6,2018-12-16 06:01:00,2018-12-16 06:56:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 7,2018-12-16 07:01:00,2018-12-16 07:57:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 8,2018-12-16 08:02:00,2018-12-16 08:57:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 9,2018-12-16 09:02:00,2018-12-16 09:58:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 10,2018-12-16 10:03:00,2018-12-16 10:58:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 11,2018-12-16 11:03:00,2018-12-16 11:59:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 12,2018-12-16 12:04:00,2018-12-16 12:54:00,11.0,26.0,0.5769230769230769
2018/12/16 Сʱ: 13,2018-12-16 13:00:00,2018-12-16 13:55:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 14,2018-12-16 14:00:00,2018-12-16 14:56:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 15,2018-12-16 15:01:00,2018-12-16 15:56:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 16,2018-12-16 16:01:00,2018-12-16 16:57:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 17,2018-12-16 17:02:00,2018-12-16 17:57:00,11.0,29.0,0.6206896551724138
2018/12/16 Сʱ: 18,2018-12-16 18:02:00,2018-12-16 18:58:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 19,2018-12-16 19:03:00,2018-12-16 19:58:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 20,2018-12-16 20:03:00,2018-12-16 20:59:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 21,2018-12-16 21:04:00,2018-12-16 21:59:00,12.0,29.0,0.5862068965517242
2018/12/16 Сʱ: 22,2018-12-16 22:04:00,2018-12-16 22:55:00,11.0,27.0,0.5925925925925926
2018/12/16 Сʱ: 23,2018-12-16 23:00:00,2018-12-16 23:55:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 0,2018-12-17 00:01:00,2018-12-17 00:56:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 1,2018-12-17 01:01:00,2018-12-17 01:57:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 2,2018-12-17 02:02:00,2018-12-17 02:57:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 3,2018-12-17 03:02:00,2018-12-17 03:58:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 4,2018-12-17 04:03:00,2018-12-17 04:58:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 5,2018-12-17 05:03:00,2018-12-17 05:59:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 6,2018-12-17 06:04:00,2018-12-17 06:59:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 7,2018-12-17 07:04:00,2018-12-17 07:55:00,11.0,27.0,0.5925925925925926
2018/12/17 Сʱ: 8,2018-12-17 08:00:00,2018-12-17 08:55:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 9,2018-12-17 09:00:00,2018-12-17 09:56:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 10,2018-12-17 10:01:00,2018-12-17 10:56:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 11,2018-12-17 11:01:00,2018-12-17 11:57:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 12,2018-12-17 12:02:00,2018-12-17 12:57:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 13,2018-12-17 13:02:00,2018-12-17 13:58:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 14,2018-12-17 14:03:00,2018-12-17 14:58:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 15,2018-12-17 15:03:00,2018-12-17 15:59:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 16,2018-12-17 16:04:00,2018-12-17 16:59:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 17,2018-12-17 17:04:00,2018-12-17 17:55:00,11.0,27.0,0.5925925925925926
2018/12/17 Сʱ: 18,2018-12-17 18:00:00,2018-12-17 18:56:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 19,2018-12-17 19:01:00,2018-12-17 19:56:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 20,2018-12-17 20:01:00,2018-12-17 20:57:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 21,2018-12-17 21:02:00,2018-12-17 21:57:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 22,2018-12-17 22:02:00,2018-12-17 22:58:00,12.0,29.0,0.5862068965517242
2018/12/17 Сʱ: 23,2018-12-17 23:03:00,2018-12-17 23:58:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 0,2018-12-18 00:03:00,2018-12-18 00:59:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 1,2018-12-18 01:04:00,2018-12-18 01:59:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 2,2018-12-18 02:04:00,2018-12-18 02:55:00,11.0,27.0,0.5925925925925926
2018/12/18 Сʱ: 3,2018-12-18 03:00:00,2018-12-18 03:55:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 4,2018-12-18 04:00:00,2018-12-18 04:56:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 5,2018-12-18 05:01:00,2018-12-18 05:57:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 6,2018-12-18 06:02:00,2018-12-18 06:57:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 7,2018-12-18 07:02:00,2018-12-18 07:58:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 8,2018-12-18 08:03:00,2018-12-18 08:58:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 9,2018-12-18 09:03:00,2018-12-18 09:59:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 10,2018-12-18 10:04:00,2018-12-18 10:59:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 11,2018-12-18 11:04:00,2018-12-18 11:55:00,11.0,27.0,0.5925925925925926
2018/12/18 Сʱ: 12,2018-12-18 12:00:00,2018-12-18 12:55:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 13,2018-12-18 13:00:00,2018-12-18 13:56:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 14,2018-12-18 14:01:00,2018-12-18 14:56:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 15,2018-12-18 15:02:00,2018-12-18 15:57:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 16,2018-12-18 16:02:00,2018-12-18 16:57:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 17,2018-12-18 17:02:00,2018-12-18 17:58:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 18,2018-12-18 18:03:00,2018-12-18 18:59:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 19,2018-12-18 19:04:00,2018-12-18 19:59:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 20,2018-12-18 20:04:00,2018-12-18 20:55:00,11.0,27.0,0.5925925925925926
2018/12/18 Сʱ: 21,2018-12-18 21:00:00,2018-12-18 21:55:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 22,2018-12-18 22:00:00,2018-12-18 22:55:00,12.0,29.0,0.5862068965517242
2018/12/18 Сʱ: 23,2018-12-18 23:00:00,2018-12-18 23:56:00,12.0,29.0,0.5862068965517242
2018/12/19 Сʱ: 0,2018-12-19 00:01:00,2018-12-19 00:56:00,12.0,29.0,0.5862068965517242
2018/12/19 Сʱ: 1,2018-12-19 01:01:00,2018-12-19 01:57:00,12.0,29.0,0.5862068965517242
2018/12/19 Сʱ: 2,2018-12-19 02:02:00,2018-12-19 02:57:00,12.0,29.0,0.5862068965517242
2018/12/19 Сʱ: 3,2018-12-19 03:02:00,2018-12-19 03:58:00,12.0,29.0,0.5862068965517242
2018/12/19 Сʱ: 4,2018-12-19 04:03:00,2018-12-19 04:58:00,12.0,29.0,0.5862068965517242
2018/12/19 Сʱ: 5,2018-12-19 05:03:00,2018-12-19 05:59:00,12.0,29.0,0.5862068965517242
2018/12/19 Сʱ: 6,2018-12-19 06:04:00,2018-12-19 06:54:00,11.0,26.0,0.5769230769230769
2018/12/19 Сʱ: 7,2018-12-19 07:00:00,2018-12-19 07:55:00,12.0,29.0,0.5862068965517242
