ʱ��,�׼�¼,ĩ��¼,�յ���¼,Ӧ�ռ�¼,������
2018/12/16 Сʱ: 5,2018-12-16 05:04:00,2018-12-16 05:56:00,10.0,27.0,0.6296296296296297
2018/12/16 Сʱ: 6,2018-12-16 06:02:00,2018-12-16 06:55:00,10.0,28.0,0.6428571428571428
2018/12/16 Сʱ: 7,2018-12-16 07:02:00,2018-12-16 07:56:00,10.0,28.0,0.6428571428571428
2018/12/16 Сʱ: 8,2018-12-16 08:02:00,2018-12-16 08:56:00,10.0,28.0,0.6428571428571428
2018/12/16 Сʱ: 9,2018-12-16 09:02:00,2018-12-16 09:58:00,10.0,29.0,0.6551724137931034
2018/12/16 Сʱ: 10,2018-12-16 10:04:00,2018-12-16 10:56:00,10.0,27.0,0.6296296296296297
2018/12/16 Сʱ: 11,2018-12-16 11:02:00,2018-12-16 11:59:00,11.0,30.0,0.6333333333333333
2018/12/16 Сʱ: 12,2018-12-16 12:05:00,2018-12-16 12:59:00,10.0,28.0,0.6428571428571428
2018/12/16 Сʱ: 13,2018-12-16 13:05:00,2018-12-16 13:59:00,10.0,28.0,0.6428571428571428
2018/12/16 Сʱ: 14,2018-12-16 14:06:00,2018-12-16 14:57:00,9.0,27.0,0.6666666666666667
2018/12/16 Сʱ: 15,2018-12-16 15:02:00,2018-12-16 15:54:00,9.0,27.0,0.6666666666666667
2018/12/16 Сʱ: 16,2018-12-16 16:00:00,2018-12-16 16:57:00,11.0,30.0,0.6333333333333333
2018/12/16 Сʱ: 17,2018-12-16 17:03:00,2018-12-16 17:55:00,10.0,27.0,0.6296296296296297
2018/12/16 Сʱ: 18,2018-12-16 18:02:00,2018-12-16 18:59:00,10.0,30.0,0.6666666666666667
2018/12/16 Сʱ: 19,2018-12-16 19:06:00,2018-12-16 19:55:00,9.0,26.0,0.6538461538461539
2018/12/16 Сʱ: 20,2018-12-16 20:01:00,2018-12-16 20:54:00,10.0,28.0,0.6428571428571428
2018/12/16 Сʱ: 21,2018-12-16 21:00:00,2018-12-16 21:58:00,11.0,30.0,0.6333333333333333
2018/12/16 Сʱ: 22,2018-12-16 22:04:00,2018-12-16 22:56:00,10.0,27.0,0.6296296296296297
2018/12/16 Сʱ: 23,2018-12-16 23:02:00,2018-12-16 23:55:00,9.0,28.0,0.6785714285714286
2018/12/17 Сʱ: 0,2018-12-17 00:01:00,2018-12-17 00:54:00,10.0,28.0,0.6428571428571428
2018/12/17 Сʱ: 1,2018-12-17 01:00:00,2018-12-17 01:55:00,10.0,29.0,0.6551724137931034
2018/12/17 Сʱ: 2,2018-12-17 02:02:00,2018-12-17 02:58:00,10.0,29.0,0.6551724137931034
2018/12/17 Сʱ: 3,2018-12-17 03:03:00,2018-12-17 03:59:00,10.0,29.0,0.6551724137931034
2018/12/17 Сʱ: 4,2018-12-17 04:05:00,2018-12-17 04:54:00,9.0,26.0,0.6538461538461539
2018/12/17 Сʱ: 5,2018-12-17 05:00:00,2018-12-17 05:56:00,10.0,29.0,0.6551724137931034
2018/12/17 Сʱ: 6,2018-12-17 06:02:00,2018-12-17 06:59:00,10.0,30.0,0.6666666666666667
2018/12/17 Сʱ: 7,2018-12-17 07:05:00,2018-12-17 07:59:00,10.0,28.0,0.6428571428571428
2018/12/17 Сʱ: 8,2018-12-17 08:05:00,2018-12-17 08:59:00,10.0,28.0,0.6428571428571428
2018/12/17 Сʱ: 9,2018-12-17 09:05:00,2018-12-17 09:58:00,10.0,28.0,0.6428571428571428
2018/12/17 Сʱ: 10,2018-12-17 10:03:00,2018-12-17 10:58:00,10.0,29.0,0.6551724137931034
2018/12/17 Сʱ: 11,2018-12-17 11:03:00,2018-12-17 11:58:00,10.0,29.0,0.6551724137931034
2018/12/17 Сʱ: 12,2018-12-17 12:05:00,2018-12-17 12:58:00,10.0,28.0,0.6428571428571428
2018/12/17 Сʱ: 13,2018-12-17 13:04:00,2018-12-17 13:56:00,10.0,27.0,0.6296296296296297
2018/12/17 Сʱ: 14,2018-12-17 14:03:00,2018-12-17 14:55:00,10.0,27.0,0.6296296296296297
2018/12/17 Сʱ: 15,2018-12-17 15:02:00,2018-12-17 15:54:00,10.0,27.0,0.6296296296296297
2018/12/17 Сʱ: 16,2018-12-17 16:00:00,2018-12-17 16:57:00,11.0,30.0,0.6333333333333333
2018/12/17 Сʱ: 17,2018-12-17 17:04:00,2018-12-17 17:59:00,10.0,29.0,0.6551724137931034
2018/12/17 Сʱ: 18,2018-12-17 18:05:00,2018-12-17 18:59:00,10.0,28.0,0.6428571428571428
2018/12/17 Сʱ: 19,2018-12-17 19:05:00,2018-12-17 19:55:00,9.0,26.0,0.6538461538461539
2018/12/17 Сʱ: 20,2018-12-17 20:01:00,2018-12-17 20:54:00,10.0,28.0,0.6428571428571428
2018/12/17 Сʱ: 21,2018-12-17 21:00:00,2018-12-17 21:58:00,11.0,30.0,0.6333333333333333
2018/12/17 Сʱ: 22,2018-12-17 22:04:00,2018-12-17 22:59:00,10.0,29.0,0.6551724137931034
2018/12/17 Сʱ: 23,2018-12-17 23:04:00,2018-12-17 23:56:00,9.0,27.0,0.6666666666666667
2018/12/18 Сʱ: 0,2018-12-18 00:01:00,2018-12-18 00:57:00,10.0,29.0,0.6551724137931034
2018/12/18 Сʱ: 1,2018-12-18 01:03:00,2018-12-18 01:57:00,10.0,28.0,0.6428571428571428
2018/12/18 Сʱ: 2,2018-12-18 02:03:00,2018-12-18 02:57:00,11.0,28.0,0.6071428571428572
2018/12/18 Сʱ: 3,2018-12-18 03:02:00,2018-12-18 03:55:00,10.0,28.0,0.6428571428571428
2018/12/18 Сʱ: 4,2018-12-18 04:00:00,2018-12-18 04:55:00,10.0,29.0,0.6551724137931034
2018/12/18 Сʱ: 5,2018-12-18 05:01:00,2018-12-18 05:56:00,10.0,29.0,0.6551724137931034
2018/12/18 Сʱ: 6,2018-12-18 06:02:00,2018-12-18 06:54:00,9.0,27.0,0.6666666666666667
2018/12/18 Сʱ: 7,2018-12-18 07:00:00,2018-12-18 07:58:00,11.0,30.0,0.6333333333333333
2018/12/18 Сʱ: 8,2018-12-18 08:03:00,2018-12-18 08:55:00,10.0,27.0,0.6296296296296297
2018/12/18 Сʱ: 9,2018-12-18 09:02:00,2018-12-18 09:56:00,10.0,28.0,0.6428571428571428
2018/12/18 Сʱ: 10,2018-12-18 10:01:00,2018-12-18 10:59:00,11.0,30.0,0.6333333333333333
2018/12/18 Сʱ: 11,2018-12-18 11:04:00,2018-12-18 11:54:00,9.0,26.0,0.6538461538461539
2018/12/18 Сʱ: 12,2018-12-18 12:00:00,2018-12-18 12:54:00,10.0,28.0,0.6428571428571428
2018/12/18 Сʱ: 13,2018-12-18 13:00:00,2018-12-18 13:53:00,10.0,28.0,0.6428571428571428
2018/12/18 Сʱ: 14,2018-12-18 14:00:00,2018-12-18 14:53:00,10.0,28.0,0.6428571428571428
2018/12/18 Сʱ: 15,2018-12-18 15:00:00,2018-12-18 15:55:00,10.0,29.0,0.6551724137931034
2018/12/18 Сʱ: 16,2018-12-18 16:01:00,2018-12-18 16:56:00,10.0,29.0,0.6551724137931034
2018/12/18 Сʱ: 17,2018-12-18 17:02:00,2018-12-18 17:56:00,10.0,28.0,0.6428571428571428
2018/12/18 Сʱ: 18,2018-12-18 18:01:00,2018-12-18 18:55:00,10.0,28.0,0.6428571428571428
2018/12/18 Сʱ: 19,2018-12-18 19:02:00,2018-12-18 19:56:00,10.0,28.0,0.6428571428571428
2018/12/18 Сʱ: 20,2018-12-18 20:02:00,2018-12-18 20:56:00,10.0,28.0,0.6428571428571428
2018/12/18 Сʱ: 21,2018-12-18 21:01:00,2018-12-18 21:58:00,10.0,30.0,0.6666666666666667
2018/12/18 Сʱ: 22,2018-12-18 22:04:00,2018-12-18 22:59:00,11.0,29.0,0.6206896551724138
2018/12/18 Сʱ: 23,2018-12-18 23:04:00,2018-12-18 23:59:00,10.0,29.0,0.6551724137931034
