time,temp,humidity
2018/12/14 13:12,-20.3,0.68 
2018/12/14 13:18,-20.4,0.68 
2018/12/14 13:25,-20.1,0.74 
2018/12/14 13:31,-20.3,0.66 
2018/12/14 13:38,-20.3,0.71 
2018/12/14 13:44,-20.2,0.72 
2018/12/14 13:51,-20.4,0.68 
2018/12/14 13:56,-20.1,0.74 
2018/12/14 14:02,-20.3,0.67 
2018/12/14 14:10,-20.3,0.70 
2018/12/14 14:16,-20.2,0.73 
2018/12/14 14:23,-20.4,0.68 
2018/12/14 14:28,-20.1,0.74 
2018/12/14 14:35,-20.3,0.67 
2018/12/14 14:42,-20.3,0.70 
2018/12/14 14:47,-20.2,0.73 
2018/12/14 14:53,-20.4,0.67 
2018/12/14 15:00,-20.3,0.72 
2018/12/14 15:06,-20.3,0.69 
2018/12/14 15:12,-20.4,0.68 
2018/12/14 15:18,-20.1,0.74 
2018/12/14 15:25,-20.4,0.66 
2018/12/14 15:30,-20.3,0.71 
2018/12/14 15:37,-20.2,0.73 
2018/12/14 15:42,-20.4,0.67 
2018/12/14 15:47,-20.2,0.72 
2018/12/14 15:53,-20.2,0.71 
2018/12/14 16:00,-20.4,0.68 
2018/12/14 16:05,-20.2,0.74 
2018/12/14 16:12,-20.3,0.68 
2018/12/14 16:18,-20.3,0.70 
2018/12/14 16:23,-20.1,0.73 
2018/12/14 16:30,-20.4,0.66 
2018/12/14 16:36,-20.2,0.72 
2018/12/14 16:43,-20.3,0.69 
2018/12/14 16:49,-20.3,0.69 
2018/12/14 16:54,-20.1,0.74 
2018/12/14 17:00,-20.3,0.67 
2018/12/14 17:06,-20.3,0.70 
2018/12/14 17:11,-20.1,0.74 
2018/12/14 17:17,-20.3,0.66 
2018/12/14 17:24,-20.3,0.71 
2018/12/14 17:30,-20.2,0.71 
2018/12/14 17:36,-20.4,0.68 
2018/12/14 17:42,-20.1,0.74 
2018/12/14 17:47,-20.3,0.67 
2018/12/14 17:54,-20.3,0.69 
2018/12/14 17:59,-20.1,0.74 
2018/12/14 18:05,-20.3,0.67 
2018/12/14 18:11,-20.2,0.71 
2018/12/14 18:17,-20.1,0.73 
2018/12/14 18:24,-20.3,0.68 
2018/12/14 18:30,-20.1,0.74 
2018/12/14 18:36,-20.3,0.67 
2018/12/14 18:43,-20.3,0.70 
2018/12/14 18:48,-20.1,0.73 
2018/12/14 18:54,-20.3,0.67 
2018/12/14 19:00,-20.2,0.72 
2018/12/14 19:07,-20.2,0.69 
2018/12/14 19:13,-20.3,0.69 
2018/12/14 19:18,-20.1,0.74 
2018/12/14 19:25,-20.3,0.66 
2018/12/14 19:31,-20.2,0.72 
2018/12/14 19:37,-20.2,0.72 
2018/12/14 19:43,-20.3,0.68 
2018/12/14 19:49,-20.1,0.74 
2018/12/14 19:55,-20.3,0.67 
2018/12/14 20:02,-20.3,0.69 
2018/12/14 20:07,-20.1,0.74 
2018/12/14 20:14,-20.3,0.66 
2018/12/14 20:21,-20.2,0.72 
2018/12/14 20:28,-20.3,0.68 
2018/12/14 20:33,-20.3,0.70 
2018/12/14 20:40,-20.1,0.74 
2018/12/14 20:46,-20.3,0.67 
2018/12/14 20:52,-20.2,0.72 
2018/12/14 20:58,-20.3,0.69 
2018/12/14 21:05,-20.3,0.68 
2018/12/14 21:11,-20.1,0.74 
2018/12/14 21:18,-20.3,0.66 
2018/12/14 21:24,-20.2,0.72 
2018/12/14 21:31,-20.3,0.68 
2018/12/14 21:37,-20.3,0.70 
2018/12/14 21:43,-20.1,0.74 
2018/12/14 21:50,-20.3,0.66 
2018/12/14 21:56,-20.2,0.72 
2018/12/14 22:01,-20.3,0.68 
2018/12/14 22:07,-20.3,0.68 
2018/12/14 22:13,-20.1,0.73 
2018/12/14 22:20,-20.3,0.67 
2018/12/14 22:26,-20.3,0.71 
2018/12/14 22:33,-20.2,0.72 
2018/12/14 22:40,-20.3,0.68 
2018/12/14 22:45,-20.1,0.74 
2018/12/14 22:50,-20.3,0.67 
2018/12/14 22:57,-20.3,0.69 
