time,temp,humidity
2018-12-21 13:14,-15.12,71.32
2018-12-21 13:20,-15.22,71.45
2018-12-21 13:25,-15.21,72.43
2018-12-21 13:30,-14.97,73.65
2018-12-21 13:35,-14.99,72.54
2018-12-21 13:40,-15.02,71.86
2018-12-21 13:45,-15.13,71.38
2018-12-21 13:50,-15.24,71.18
2018-12-21 13:55,-14.92,73.69
2018-12-21 14:00,-14.82,72.63
2018-12-21 14:05,-14.94,71.58
2018-12-21 14:10,-15.05,70.98
2018-12-21 14:15,-15.15,70.9
2018-12-21 14:20,-15.24,71.05
2018-12-21 14:25,-15.34,71.03
2018-12-21 14:30,-15.45,70.82
2018-12-21 14:35,-15.56,70.86
2018-12-21 14:40,-15.6,71.08
2018-12-21 14:45,-15.68,71.25
2018-12-21 14:50,-15.76,71.1
2018-12-21 14:55,-15.85,71.03
2018-12-21 15:00,-15.89,71.18
2018-12-21 15:05,-15.93,71.38
2018-12-21 15:10,-15.98,71.42
2018-12-21 15:16,-16.03,71.27
2018-12-21 15:21,-16.11,71.28
2018-12-21 15:26,-16.11,71.44
2018-12-21 15:31,-16.12,71.61
2018-12-21 15:36,-16.18,71.54
2018-12-21 15:41,-16.23,71.42
2018-12-21 15:46,-15.25,76.63
2018-12-21 15:51,-14.64,79.25
2018-12-21 15:56,-14.6,77.68
2018-12-21 16:01,-14.7,75.89
2018-12-21 16:06,-14.83,74.7
2018-12-21 16:11,-14.73,75.21
2018-12-21 16:16,-14.21,76.66
2018-12-21 16:21,-14.21,74.61
2018-12-21 16:26,-14.37,73.23
2018-12-21 16:31,-14.55,72.6
2018-12-21 16:36,-14.46,74.07
2018-12-21 16:42,-13.5,77.1
2018-12-21 16:47,-13.36,73.96
2018-12-21 16:52,-13.52,72.04
2018-12-21 16:57,-13.76,71.39
2018-12-21 17:02,-13.4,73.81
2018-12-21 17:07,-12.74,75.69
2018-12-21 17:12,-11.76,75.08
2018-12-21 17:17,-11.64,72.01
2018-12-21 17:22,-11.32,71.39
2018-12-21 17:27,-11.57,68.78
2018-12-21 17:32,-11.65,69.19
2018-12-21 17:37,-11.98,68.13
2018-12-21 17:42,-12.09,69.18
2018-12-21 17:47,-12.29,68.86
2018-12-21 17:52,-12.02,70.43
2018-12-21 17:57,-11.96,71.19
2018-12-21 18:02,-11.5,72.75
2018-12-21 18:07,-11.65,70.21
2018-12-21 18:12,-12.0,68.46
2018-12-21 18:17,-12.39,68.24
2018-12-21 18:23,-12.76,67.43
2018-12-21 18:28,-13.3,66.32
2018-12-21 18:33,-13.54,66.53
2018-12-21 18:38,-13.71,67.29
2018-12-21 18:43,-13.95,66.88
2018-12-21 18:48,-14.2,67.09
2018-12-21 18:53,-14.32,67.62
2018-12-21 18:58,-14.4,68.54
2018-12-21 19:03,-14.58,68.64
2018-12-21 19:08,-14.69,68.23
2018-12-21 19:13,-14.82,68.6
2018-12-21 19:18,-14.56,72.24
2018-12-21 19:23,-14.16,75.73
2018-12-21 19:28,-14.08,75.6
2018-12-21 19:33,-14.14,74.98
2018-12-21 19:38,-14.31,74.34
2018-12-21 19:43,-14.46,74.02
2018-12-21 19:48,-14.56,73.83
2018-12-21 19:53,-14.7,73.8
2018-12-21 19:58,-14.8,73.7
2018-12-21 20:04,-14.42,76.72
2018-12-21 20:09,-13.77,79.56
2018-12-21 20:14,-13.61,77.18
2018-12-21 20:19,-13.73,75.04
2018-12-21 20:24,-13.89,73.98
2018-12-21 20:29,-14.1,73.54
2018-12-21 20:34,-14.28,73.38
2018-12-21 20:39,-14.51,73.12
2018-12-21 20:44,-14.66,73.02
2018-12-21 20:49,-14.78,73.06
2018-12-21 20:54,-14.9,73.14
