time,temp,humidity
2018/12/14 11:43,-13.07,71.02
2018/12/14 11:48,-12.66,72.18
2018/12/14 11:53,-12.92,67.84
2018/12/14 11:58,-12.92,70.19
2018/12/14 12:03,-13.31,66.95
2018/12/14 12:08,-13.72,65.58
2018/12/14 12:13,-13.49,70.73
2018/12/14 12:18,-13.6,71.17
2018/12/14 12:23,-13.95,68.15
2018/12/14 12:28,-14.26,67.2
2018/12/14 12:33,-14.55,67.45
2018/12/14 12:38,-14.78,67.37
2018/12/14 12:43,-14.98,66.49
2018/12/14 12:48,-15.13,66.49
2018/12/14 12:53,-15.31,67.17
2018/12/14 12:59,-15.43,67.52
2018/12/14 13:04,-15.57,67.03
2018/12/14 13:09,-15.68,67
2018/12/14 13:14,-15.83,67.45
2018/12/14 13:19,-15.88,67.87
2018/12/14 13:24,-15.99,67.53
2018/12/14 13:29,-16.1,67.42
2018/12/14 13:34,-16.16,67.76
2018/12/14 13:39,-16.2,68.26
2018/12/14 13:44,-16.1,68.71
2018/12/14 13:49,-15.7,74.37
2018/12/14 13:54,-15.79,71.64
2018/12/14 13:59,-15.85,70.41
2018/12/14 14:04,-15.5,74.62
2018/12/14 14:09,-15.61,71.46
2018/12/14 14:14,-15.74,69.87
2018/12/14 14:19,-15.85,69.65
2018/12/14 14:24,-15.97,69.45
2018/12/14 14:29,-15.24,75.43
2018/12/14 14:34,-15.24,73.06
2018/12/14 14:39,-15.36,71.03
2018/12/14 14:44,-15.49,70.08
2018/12/14 14:50,-12.38,83.44
2018/12/14 14:55,-12.12,85.7
2018/12/14 15:00,-11.58,83.87
2018/12/14 15:05,-11.83,78.56
2018/12/14 15:10,-12.2,74.71
2018/12/14 15:15,-12.18,76.06
2018/12/14 15:20,-12.16,76.19
2018/12/14 15:25,-11.91,76.62
2018/12/14 15:30,-12.39,71.19
2018/12/14 15:35,-12.64,72.52
2018/12/14 15:40,-12.47,74.04
2018/12/14 15:45,-12.91,69.4
2018/12/14 15:50,-13.37,67.91
2018/12/14 15:55,-13.74,68.03
2018/12/14 16:00,-14.06,67.86
2018/12/14 16:05,-13.96,71.32
2018/12/14 16:10,-14.1,69.54
2018/12/14 16:15,-14.33,68.36
2018/12/14 16:20,-14.35,68.41
2018/12/14 16:25,-13.3,76.24
2018/12/14 16:31,-12.42,78.8
2018/12/14 16:36,-11.44,80.37
2018/12/14 16:41,-11.74,72.67
2018/12/14 16:46,-12.31,68.04
2018/12/14 16:51,-12.81,67.04
2018/12/14 16:56,-13.28,66.92
2018/12/14 17:01,-13.79,66.23
2018/12/14 17:06,-14.17,66.52
2018/12/14 17:11,-14.45,67.39
2018/12/14 17:16,-14.68,67.97
2018/12/14 17:21,-14.9,67.22
2018/12/14 17:26,-15.08,67.16
2018/12/14 17:31,-15.25,67.71
2018/12/14 17:36,-14.71,75.38
2018/12/14 17:41,-14.81,72.35
2018/12/14 17:46,-15.04,69.81
2018/12/14 17:51,-15.21,69.46
2018/12/14 17:56,-15.38,69.49
2018/12/14 18:01,-14.99,72.28
2018/12/14 18:07,-14.47,78.05
2018/12/14 18:12,-13.99,78.14
2018/12/14 18:17,-13.92,76.32
2018/12/14 18:22,-13.8,75.82
2018/12/14 18:27,-14.05,71.31
2018/12/14 18:32,-14.34,69.78
2018/12/14 18:37,-14.62,69.51
2018/12/14 18:42,-14.91,68.85
2018/12/14 18:47,-15.14,68.99
2018/12/14 18:52,-15.28,69.67
2018/12/14 18:57,-15.4,69.94
2018/12/14 19:02,-15.56,68.99
2018/12/14 19:07,-15.69,68.8
2018/12/14 19:12,-15.79,69.37
2018/12/14 19:17,-15.85,69.92
2018/12/14 19:22,-15.94,69.23
2018/12/14 19:27,-16.03,68.87
2018/12/14 19:32,-16.09,69.23
2018/12/14 19:37,-16.16,69.84
2018/12/14 19:42,-16.23,69.61
2018/12/14 19:47,-16.3,69.03
2018/12/14 19:52,-15.99,72.29
2018/12/14 19:57,-15.62,77.31
2018/12/14 20:02,-15.58,75.63
2018/12/14 20:08,-15.71,72.51
2018/12/14 20:13,-15.42,74.98
2018/12/14 20:18,-15.39,75.07
2018/12/14 20:23,-15.52,72.96
2018/12/14 20:28,-15.5,71.17
2018/12/14 20:33,-14.95,77.63
2018/12/14 20:38,-14.92,75.86
2018/12/14 20:43,-15.01,73.35
2018/12/14 20:48,-15.16,71.27
2018/12/14 20:53,-15.26,70.45
2018/12/14 20:58,-15.41,70.41
2018/12/14 21:03,-14.91,75.47
2018/12/14 21:08,-14.58,79.69
2018/12/14 21:13,-14.33,78.24
2018/12/14 21:18,-13.63,80.84
2018/12/14 21:23,-12.68,84.81
2018/12/14 21:28,-12.39,84.25
2018/12/14 21:33,-12.77,80.39
2018/12/14 21:38,-13.2,76.16
2018/12/14 21:43,-13.56,73.91
2018/12/14 21:48,-13.8,72.76
2018/12/14 21:53,-14.07,71.22
2018/12/14 21:58,-13.89,73.46
2018/12/14 22:03,-13.59,79.82
2018/12/14 22:08,-13.73,77.53
2018/12/14 22:14,-13.98,73.83
